CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
1,1716266962277,1716266962283,6,6,0,0,0
2,1716266962279,1716266962285,6,5,1,0,0
4,1716266962282,1716266962287,5,4,1,0,0
3,1716266962280,1716266962286,6,5,1,0,0
6,1716266962284,1716266962290,6,5,1,0,0
7,1716266962286,1716266962291,5,4,1,0,0
8,1716266962287,1716266962292,5,4,0,0,0
5,1716266962283,1716266962288,5,4,1,0,0
12,1716266962292,1716266962298,6,5,1,0,0
10,1716266962289,1716266962295,6,5,1,0,0
9,1716266962288,1716266962293,5,4,0,0,0
11,1716266962291,1716266962299,8,5,1,0,0
14,1716266962295,1716266962302,7,5,1,0,0
15,1716266962297,1716266962304,7,5,2,0,0
16,1716266962299,1716266962305,6,5,1,0,0
17,1716266962301,1716266962307,6,5,1,0,0
13,1716266962293,1716266962300,7,6,1,0,0
19,1716266962305,1716266962312,7,6,1,0,0
18,1716266962303,1716266962310,7,5,2,0,0
20,1716266962310,1716266962339,29,23,2,0,0
21,1716266962310,1716266962336,26,23,1,0,0
30,1716266962326,1716266962343,17,13,2,0,0
34,1716266962335,1716266962346,11,9,1,0,0
37,1716266962341,1716266962351,10,8,1,0,0
36,1716266962340,1716266962352,12,8,2,0,0
33,1716266962333,1716266962348,15,11,1,0,0
32,1716266962330,1716266962354,24,11,1,0,0
38,1716266962344,1716266962351,7,6,1,0,0
35,1716266962337,1716266962353,16,10,1,0,0
31,1716266962329,1716266962355,26,12,1,0,0
40,1716266962349,1716266962360,11,8,1,0,0
27,1716266962322,1716266962363,41,17,2,0,0
29,1716266962325,1716266962358,33,14,1,0,0
39,1716266962346,1716266962357,11,9,1,0,0
28,1716266962323,1716266962361,38,16,1,0,0
42,1716266962353,1716266962365,12,10,2,0,0
41,1716266962351,1716266962359,8,7,1,0,0
43,1716266962355,1716266962366,11,9,1,0,0
26,1716266962320,1716266962368,48,19,2,0,0
46,1716266962361,1716266962372,11,9,1,0,0
47,1716266962363,1716266962374,11,9,1,0,0
45,1716266962359,1716266962375,16,11,2,0,0
48,1716266962366,1716266962378,12,9,2,0,0
44,1716266962358,1716266962370,12,10,1,0,0
50,1716266962369,1716266962385,16,13,2,0,0
51,1716266962372,1716266962392,20,14,2,0,0
25,1716266962318,1716266962381,63,20,1,0,0
53,1716266962377,1716266962390,13,11,1,0,0
