CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716266919276,1716266919282,6,5,1,0,0
1,1716266919317,1716266919322,5,4,0,0,0
2,1716266919357,1716266919363,6,5,1,0,0
3,1716266919398,1716266919404,6,5,1,0,0
4,1716266919439,1716266919445,6,5,1,0,0
5,1716266919482,1716266919487,5,5,0,0,0
6,1716266919523,1716266919529,6,5,1,0,0
7,1716266919564,1716266919570,6,5,1,0,0
8,1716266919607,1716266919615,8,5,2,0,0
9,1716266919650,1716266919655,5,4,0,0,0
10,1716266919691,1716266919697,6,5,1,0,0
11,1716266919734,1716266919740,6,5,1,0,0
12,1716266919775,1716266919780,5,4,1,0,0
13,1716266919815,1716266919820,5,4,1,0,0
14,1716266919854,1716266919859,5,4,1,0,0
15,1716266919894,1716266919899,5,4,1,0,0
16,1716266919933,1716266919939,6,4,1,0,0
17,1716266919974,1716266919981,7,6,1,0,0
18,1716266920016,1716266920022,6,5,1,0,0
19,1716266920057,1716266920063,6,5,1,0,0
20,1716266920098,1716266920103,5,4,1,0,0
21,1716266920139,1716266920144,5,4,1,0,0
22,1716266920180,1716266920185,5,4,1,0,0
23,1716266920220,1716266920226,6,5,1,0,0
24,1716266920261,1716266920267,6,5,1,0,0
25,1716266920301,1716266920306,5,4,0,0,0
26,1716266920342,1716266920347,5,4,1,0,0
27,1716266920383,1716266920389,6,5,1,0,0
28,1716266920424,1716266920430,6,5,1,0,0
29,1716266920465,1716266920470,5,4,1,0,0
30,1716266920505,1716266920510,5,5,0,0,0
31,1716266920545,1716266920551,6,5,1,0,0
32,1716266920586,1716266920592,6,5,1,0,0
33,1716266920626,1716266920632,6,5,1,0,0
34,1716266920669,1716266920676,7,6,1,0,0
35,1716266920711,1716266920717,6,5,1,0,0
36,1716266920752,1716266920757,5,4,1,0,0
37,1716266920792,1716266920798,6,5,1,0,0
38,1716266920832,1716266920837,5,4,1,0,0
39,1716266920871,1716266920877,6,5,1,0,0
40,1716266920911,1716266920917,6,5,1,0,0
41,1716266920951,1716266920956,5,4,1,0,0
42,1716266920991,1716266920996,5,4,1,0,0
43,1716266921030,1716266921036,6,4,1,0,0
44,1716266921070,1716266921075,5,4,1,0,0
45,1716266921110,1716266921115,5,4,1,0,0
46,1716266921149,1716266921154,5,4,1,0,0
47,1716266921189,1716266921195,6,5,1,0,0
48,1716266921230,1716266921235,5,4,1,0,0
49,1716266921270,1716266921276,6,5,1,0,0
50,1716266921311,1716266921317,6,5,1,0,0
51,1716266921352,1716266921358,6,5,1,0,0
52,1716266921393,1716266921398,5,5,0,0,0
53,1716266921435,1716266921441,6,5,1,0,0
54,1716266921477,1716266921483,6,5,1,0,0
55,1716266921517,1716266921522,5,5,0,0,0
56,1716266921557,1716266921563,6,5,1,0,0
57,1716266921599,1716266921605,6,5,1,0,0
58,1716266921640,1716266921646,6,5,1,0,0
59,1716266921682,1716266921687,5,4,1,0,0
60,1716266921722,1716266921728,6,5,1,0,0
61,1716266921763,1716266921769,6,5,1,0,0
62,1716266921804,1716266921808,4,4,0,0,0
63,1716266921843,1716266921849,6,5,1,0,0
64,1716266921884,1716266921890,6,5,1,0,0
65,1716266921924,1716266921930,6,5,1,0,0
66,1716266921965,1716266921970,5,4,1,0,0
67,1716266922006,1716266922013,7,6,1,0,0
68,1716266922048,1716266922055,7,5,1,0,0
69,1716266922090,1716266922096,6,5,1,0,0
70,1716266922133,1716266922139,6,5,1,0,0
71,1716266922174,1716266922181,7,6,1,0,0
72,1716266922217,1716266922223,6,5,1,0,0
73,1716266922258,1716266922263,5,4,1,0,0
74,1716266922298,1716266922303,5,5,0,0,0
75,1716266922339,1716266922344,5,4,0,0,0
76,1716266922381,1716266922386,5,4,1,0,0
77,1716266922422,1716266922428,6,5,1,0,0
78,1716266922463,1716266922468,5,4,1,0,0
79,1716266922503,1716266922508,5,4,1,0,0
80,1716266922544,1716266922550,6,5,1,0,0
81,1716266922585,1716266922590,5,5,0,0,0
82,1716266922626,1716266922633,7,6,1,0,0
83,1716266922670,1716266922678,8,6,2,0,0
84,1716266922714,1716266922721,7,6,1,0,0
85,1716266922757,1716266922763,6,5,1,0,0
86,1716266922798,1716266922803,5,4,1,0,0
87,1716266922838,1716266922844,6,5,1,0,0
88,1716266922879,1716266922885,6,5,1,0,0
89,1716266922919,1716266922925,6,5,1,0,0
90,1716266922960,1716266922966,6,5,1,0,0
91,1716266923001,1716266923007,6,5,1,0,0
92,1716266923042,1716266923047,5,4,1,0,0
93,1716266923082,1716266923088,6,5,1,0,0
94,1716266923123,1716266923129,6,5,1,0,0
95,1716266923165,1716266923170,5,4,1,0,0
96,1716266923206,1716266923211,5,4,1,0,0
97,1716266923247,1716266923253,6,6,0,0,0
98,1716266923289,1716266923295,6,4,1,0,0
99,1716266923329,1716266923335,6,5,1,0,0
100,1716266923370,1716266923375,5,4,0,0,0
101,1716266923413,1716266923418,5,4,0,0,0
102,1716266923454,1716266923460,6,5,0,0,0
103,1716266923496,1716266923503,7,5,2,0,0
104,1716266923541,1716266923547,6,5,1,0,0
105,1716266923582,1716266923587,5,4,1,0,0
106,1716266923623,1716266923629,6,4,1,0,0
107,1716266923663,1716266923669,6,5,0,0,0
108,1716266923705,1716266923712,7,6,1,0,0
109,1716266923747,1716266923752,5,4,1,0,0
110,1716266923787,1716266923792,5,4,1,0,0
111,1716266923826,1716266923832,6,5,1,0,0
112,1716266923866,1716266923873,7,6,1,0,0
113,1716266923907,1716266923913,6,5,1,0,0
114,1716266923949,1716266923954,5,4,1,0,0
115,1716266923989,1716266923995,6,5,1,0,0
116,1716266924030,1716266924035,5,4,0,0,0
117,1716266924070,1716266924075,5,5,0,0,0
118,1716266924110,1716266924116,6,5,1,0,0
119,1716266924151,1716266924156,5,4,0,0,0
120,1716266924191,1716266924196,5,4,1,0,0
121,1716266924230,1716266924236,6,6,0,0,0
122,1716266924271,1716266924277,6,5,1,0,0
123,1716266924313,1716266924318,5,4,1,0,0
124,1716266924352,1716266924358,6,5,1,0,0
125,1716266924394,1716266924399,5,4,1,0,0
126,1716266924434,1716266924440,6,4,1,0,0
127,1716266924475,1716266924481,6,5,1,0,0
128,1716266924515,1716266924520,5,5,0,0,0
129,1716266924556,1716266924561,5,4,1,0,0
130,1716266924596,1716266924602,6,5,1,0,0
131,1716266924638,1716266924644,6,5,1,0,0
132,1716266924680,1716266924686,6,5,1,0,0
133,1716266924722,1716266924728,6,5,1,0,0
134,1716266924762,1716266924769,7,5,1,0,0
135,1716266924803,1716266924809,6,5,1,0,0
136,1716266924844,1716266924850,6,5,1,0,0
137,1716266924884,1716266924890,6,5,1,0,0
138,1716266924925,1716266924930,5,5,0,0,0
139,1716266924965,1716266924971,6,5,1,0,0
140,1716266925005,1716266925011,6,5,1,0,0
141,1716266925046,1716266925051,5,4,0,0,0
142,1716266925086,1716266925092,6,5,1,0,0
143,1716266925126,1716266925131,5,5,0,0,0
144,1716266925166,1716266925171,5,4,1,0,0
145,1716266925206,1716266925211,5,4,1,0,0
146,1716266925247,1716266925252,5,4,1,0,0
147,1716266925287,1716266925293,6,5,1,0,0
148,1716266925327,1716266925332,5,5,0,0,0
149,1716266925367,1716266925372,5,4,0,0,0
150,1716266925407,1716266925412,5,5,0,0,0
151,1716266925447,1716266925453,6,5,1,0,0
152,1716266925487,1716266925493,6,5,1,0,0
153,1716266925528,1716266925534,6,4,1,0,0
154,1716266925569,1716266925574,5,5,0,0,0
155,1716266925610,1716266925616,6,5,1,0,0
156,1716266925651,1716266925657,6,5,1,0,0
157,1716266925691,1716266925696,5,4,1,0,0
158,1716266925732,1716266925738,6,5,1,0,0
159,1716266925774,1716266925779,5,4,0,0,0
160,1716266925815,1716266925820,5,4,1,0,0
161,1716266925856,1716266925862,6,5,1,0,0
162,1716266925897,1716266925902,5,4,1,0,0
163,1716266925937,1716266925944,7,6,1,0,0
164,1716266925979,1716266925985,6,5,1,0,0
165,1716266926020,1716266926025,5,4,0,0,0
166,1716266926061,1716266926067,6,4,1,0,0
167,1716266926102,1716266926107,5,4,1,0,0
168,1716266926142,1716266926148,6,5,1,0,0
169,1716266926184,1716266926189,5,4,1,0,0
170,1716266926224,1716266926229,5,4,1,0,0
171,1716266926263,1716266926268,5,4,1,0,0
172,1716266926303,1716266926309,6,5,1,0,0
173,1716266926344,1716266926350,6,5,1,0,0
174,1716266926385,1716266926390,5,4,1,0,0
175,1716266926426,1716266926431,5,4,1,0,0
176,1716266926466,1716266926472,6,4,1,0,0
177,1716266926507,1716266926513,6,5,1,0,0
178,1716266926549,1716266926554,5,4,0,0,0
179,1716266926589,1716266926595,6,4,1,0,0
180,1716266926630,1716266926636,6,5,1,0,0
181,1716266926673,1716266926680,7,7,0,0,0
182,1716266926715,1716266926721,6,5,1,0,0
183,1716266926757,1716266926762,5,4,1,0,0
184,1716266926797,1716266926803,6,4,1,0,0
185,1716266926836,1716266926842,6,5,1,0,0
186,1716266926877,1716266926882,5,4,0,0,0
187,1716266926917,1716266926923,6,5,0,0,0
188,1716266926958,1716266926964,6,5,1,0,0
189,1716266926998,1716266927004,6,5,1,0,0
190,1716266927039,1716266927045,6,5,1,0,0
191,1716266927080,1716266927086,6,5,1,0,0
192,1716266927121,1716266927126,5,4,1,0,0
193,1716266927161,1716266927166,5,4,1,0,0
194,1716266927201,1716266927208,7,5,1,0,0
195,1716266927243,1716266927248,5,4,1,0,0
196,1716266927283,1716266927288,5,4,1,0,0
197,1716266927323,1716266927328,5,4,1,0,0
198,1716266927363,1716266927368,5,4,1,0,0
199,1716266927402,1716266927407,5,4,1,0,0
200,1716266927442,1716266927447,5,4,0,0,0
201,1716266927482,1716266927488,6,5,1,0,0
202,1716266927523,1716266927528,5,5,0,0,0
