CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716267107989,1716267108035,46,3,43,0,0
1,1716267108036,1716267108080,44,1,42,0,0
2,1716267108080,1716267108131,51,2,49,0,0
3,1716267108131,1716267108179,48,3,45,0,0
4,1716267108179,1716267108227,48,3,45,0,0
5,1716267108227,1716267108272,45,2,42,0,0
6,1716267108272,1716267108323,51,2,49,0,0
7,1716267108323,1716267108367,44,3,41,0,0
8,1716267108367,1716267108419,52,3,49,0,0
9,1716267108419,1716267108472,53,4,49,0,0
10,1716267108472,1716267108524,52,2,50,0,0
11,1716267108524,1716267108572,48,3,45,0,0
12,1716267108572,1716267108615,43,2,41,0,0
13,1716267108615,1716267108663,48,3,45,0,0
14,1716267108663,1716267108708,45,2,42,0,0
15,1716267108708,1716267108756,48,2,46,0,0
16,1716267108756,1716267108803,47,1,46,0,0
17,1716267108803,1716267108851,48,2,46,0,0
18,1716267108851,1716267108895,44,2,42,0,0
19,1716267108895,1716267108939,44,2,42,0,0
20,1716267108939,1716267108991,52,3,49,0,0
21,1716267108991,1716267109044,53,3,50,0,0
22,1716267109044,1716267109095,51,3,47,0,0
23,1716267109095,1716267109139,44,2,42,0,0
24,1716267109139,1716267109183,44,2,42,0,0
25,1716267109183,1716267109231,48,3,45,0,0
26,1716267109231,1716267109286,55,3,52,0,0
27,1716267109286,1716267109335,49,7,42,0,0
28,1716267109335,1716267109384,49,3,46,0,0
29,1716267109384,1716267109431,47,2,44,0,0
30,1716267109431,1716267109483,52,3,49,0,0
31,1716267109483,1716267109536,53,3,50,0,0
32,1716267109536,1716267109583,47,2,45,0,0
33,1716267109583,1716267109635,52,6,46,0,0
34,1716267109635,1716267109688,53,3,50,0,0
35,1716267109688,1716267109740,52,2,50,0,0
36,1716267109740,1716267109788,48,2,46,0,0
37,1716267109788,1716267109839,51,2,49,0,0
38,1716267109839,1716267109888,49,3,46,0,0
39,1716267109888,1716267109935,47,2,45,0,0
40,1716267109935,1716267109987,52,3,49,0,0
41,1716267109987,1716267110031,44,2,41,0,0
42,1716267110031,1716267110079,48,3,45,0,0
43,1716267110079,1716267110123,44,2,41,0,0
44,1716267110123,1716267110171,48,4,44,0,0
45,1716267110171,1716267110219,48,3,45,0,0
46,1716267110219,1716267110267,48,4,44,0,0
47,1716267110267,1716267110315,48,3,45,0,0
48,1716267110315,1716267110364,49,3,46,0,0
49,1716267110364,1716267110411,47,2,45,0,0
50,1716267110411,1716267110460,49,3,46,0,0
51,1716267110460,1716267110511,51,2,49,0,0
