CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716267088424,1716267089015,591,0,0,0,0
5,1716267088425,1716267089015,590,0,0,0,0
4,1716267088425,1716267089015,590,0,0,0,0
3,1716267088425,1716267089015,590,0,0,0,0
2,1716267088424,1716267089015,591,0,0,0,0
1,1716267088424,1716267089015,591,0,0,0,0
6,1716267088425,1716267089015,590,0,0,0,0
11,1716267088427,1716267089015,588,0,0,0,0
8,1716267088425,1716267089016,591,0,0,0,0
7,1716267088425,1716267089016,591,0,0,0,0
9,1716267088425,1716267089016,591,0,0,0,0
10,1716267088427,1716267089016,589,0,0,0,0
12,1716267088427,1716267089039,612,0,0,0,0
13,1716267088427,1716267089044,617,0,0,0,0
14,1716267088427,1716267089044,617,0,0,0,0
15,1716267088427,1716267089044,617,0,0,0,0
16,1716267088427,1716267089047,620,0,0,0,0
17,1716267088427,1716267089047,620,0,0,0,0
18,1716267088427,1716267089083,656,0,0,0,0
19,1716267088427,1716267089088,661,0,0,0,0
20,1716267088428,1716267089088,660,0,0,0,0
21,1716267088428,1716267089088,660,0,0,0,0
22,1716267088428,1716267089092,664,0,0,0,0
23,1716267088428,1716267089092,664,0,0,0,0
24,1716267088428,1716267089127,699,0,0,0,0
25,1716267088428,1716267089131,703,0,0,0,0
26,1716267088429,1716267089132,703,0,0,0,0
27,1716267088429,1716267089132,703,0,0,0,0
28,1716267088429,1716267089135,706,0,0,0,0
29,1716267088429,1716267089135,706,0,0,0,0
30,1716267088429,1716267089171,742,0,0,0,0
31,1716267088429,1716267089180,751,0,0,0,0
34,1716267088430,1716267089180,750,0,0,0,0
35,1716267088431,1716267089181,750,0,0,0,0
32,1716267088429,1716267089181,752,0,0,0,0
33,1716267088430,1716267089181,751,0,0,0,0
36,1716267088431,1716267089215,784,0,0,0,0
39,1716267088431,1716267089224,793,0,0,0,0
40,1716267088431,1716267089225,794,0,0,0,0
41,1716267088432,1716267089225,793,0,0,0,0
37,1716267088431,1716267089232,801,0,0,0,0
38,1716267088431,1716267089232,801,0,0,0,0
42,1716267088432,1716267089259,827,0,0,0,0
44,1716267088432,1716267089268,836,0,0,0,0
45,1716267088432,1716267089268,836,0,0,0,0
43,1716267088432,1716267089271,839,0,0,0,0
46,1716267088432,1716267089276,844,0,0,0,0
47,1716267088433,1716267089277,844,0,0,0,0
48,1716267088433,1716267089303,870,0,0,0,0
49,1716267088433,1716267089312,879,0,0,0,0
50,1716267088433,1716267089313,880,0,0,0,0
51,1716267088433,1716267089315,882,0,0,0,0
52,1716267088433,1716267089320,887,0,0,0,0
53,1716267088433,1716267089320,887,0,0,0,0
54,1716267088433,1716267089347,914,0,0,0,0
57,1716267088434,1716267089360,926,0,0,0,0
56,1716267088434,1716267089360,926,0,0,0,0
55,1716267088434,1716267089360,926,0,0,0,0
58,1716267088434,1716267089368,934,0,0,0,0
59,1716267088434,1716267089368,934,0,0,0,0
60,1716267088434,1716267089395,961,0,0,0,0
61,1716267088434,1716267089404,970,0,0,0,0
63,1716267088435,1716267089404,969,0,0,0,0
62,1716267088435,1716267089404,969,0,0,0,0
64,1716267088435,1716267089411,976,0,0,0,0
65,1716267088435,1716267089411,976,0,0,0,0
66,1716267088435,1716267089439,1004,0,0,0,0
67,1716267088435,1716267089448,1013,0,0,0,0
68,1716267088436,1716267089448,1012,0,0,0,0
