CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716267031924,1716267040023,8099,0,0,0,0
1,1716267031924,1716267040023,8099,0,0,0,0
2,1716267031924,1716267040023,8099,0,0,0,0
3,1716267031924,1716267040023,8099,0,0,0,0
4,1716267031925,1716267040023,8098,0,0,0,0
5,1716267031925,1716267040023,8098,0,0,0,0
6,1716267031925,1716267040023,8098,0,0,0,0
7,1716267031925,1716267040023,8098,0,0,0,0
8,1716267031925,1716267040023,8098,0,0,0,0
9,1716267031925,1716267040023,8098,0,0,0,0
10,1716267031925,1716267040023,8098,0,0,0,0
11,1716267031925,1716267040023,8098,0,0,0,0
12,1716267031925,1716267040023,8098,0,0,0,0
13,1716267031925,1716267040023,8098,0,0,0,0
14,1716267031925,1716267040023,8098,0,0,0,0
15,1716267031925,1716267040023,8098,0,0,0,0
16,1716267031926,1716267040023,8097,0,0,0,0
17,1716267031926,1716267040023,8097,0,0,0,0
18,1716267031926,1716267040023,8097,0,0,0,0
19,1716267031926,1716267040023,8097,0,0,0,0
20,1716267031926,1716267040023,8097,0,0,0,0
21,1716267031926,1716267040023,8097,0,0,0,0
22,1716267031926,1716267040023,8097,0,0,0,0
23,1716267031926,1716267040023,8097,0,0,0,0
24,1716267031926,1716267040023,8097,0,0,0,0
25,1716267031927,1716267040023,8096,0,0,0,0
26,1716267031927,1716267040023,8096,0,0,0,0
27,1716267031927,1716267040023,8096,0,0,0,0
28,1716267031927,1716267040023,8096,0,0,0,0
29,1716267031927,1716267040023,8096,0,0,0,0
30,1716267031927,1716267040023,8096,0,0,0,0
31,1716267031927,1716267040023,8096,0,0,0,0
32,1716267031927,1716267040023,8096,0,0,0,0
33,1716267031927,1716267040023,8096,0,0,0,0
34,1716267031927,1716267040023,8096,0,0,0,0
35,1716267031927,1716267040023,8096,0,0,0,0
36,1716267031927,1716267040023,8096,0,0,0,0
37,1716267031928,1716267040023,8095,0,0,0,0
38,1716267031928,1716267040023,8095,0,0,0,0
39,1716267031928,1716267040023,8095,0,0,0,0
40,1716267031928,1716267040023,8095,0,0,0,0
41,1716267031928,1716267040023,8095,0,0,0,0
42,1716267031928,1716267040023,8095,0,0,0,0
43,1716267031928,1716267040023,8095,0,0,0,0
44,1716267031928,1716267040023,8095,0,0,0,0
45,1716267031928,1716267040023,8095,0,0,0,0
46,1716267031928,1716267040023,8095,0,0,0,0
47,1716267031928,1716267040023,8095,0,0,0,0
48,1716267031928,1716267040023,8095,0,0,0,0
49,1716267031929,1716267040023,8094,0,0,0,0
50,1716267031929,1716267040023,8094,0,0,0,0
51,1716267031929,1716267040023,8094,0,0,0,0
52,1716267031929,1716267040023,8094,0,0,0,0
53,1716267031929,1716267040023,8094,0,0,0,0
54,1716267031929,1716267040023,8094,0,0,0,0
55,1716267031929,1716267040023,8094,0,0,0,0
56,1716267031929,1716267040023,8094,0,0,0,0
57,1716267031929,1716267040023,8094,0,0,0,0
58,1716267031929,1716267040023,8094,0,0,0,0
59,1716267031929,1716267040023,8094,0,0,0,0
60,1716267031929,1716267040023,8094,0,0,0,0
61,1716267031929,1716267040023,8094,0,0,0,0
62,1716267031929,1716267040023,8094,0,0,0,0
63,1716267031929,1716267040023,8094,0,0,0,0
64,1716267031929,1716267040023,8094,0,0,0,0
65,1716267031929,1716267040023,8094,0,0,0,0
66,1716267031930,1716267040023,8093,0,0,0,0
67,1716267031930,1716267040023,8093,0,0,0,0
68,1716267031930,1716267040023,8093,0,0,0,0
69,1716267031930,1716267040023,8093,0,0,0,0
70,1716267031930,1716267040023,8093,0,0,0,0
71,1716267031930,1716267040023,8093,0,0,0,0
72,1716267031930,1716267040023,8093,0,0,0,0
73,1716267031930,1716267040023,8093,0,0,0,0
74,1716267031930,1716267040023,8093,0,0,0,0
75,1716267031930,1716267040023,8093,0,0,0,0
76,1716267031930,1716267040023,8093,0,0,0,0
77,1716267031930,1716267040023,8093,0,0,0,0
78,1716267031931,1716267040023,8092,0,0,0,0
79,1716267031931,1716267040023,8092,0,0,0,0
80,1716267031931,1716267040023,8092,0,0,0,0
81,1716267031931,1716267040023,8092,0,0,0,0
82,1716267031931,1716267040023,8092,0,0,0,0
83,1716267031931,1716267040023,8092,0,0,0,0
84,1716267031931,1716267040023,8092,0,0,0,0
85,1716267031931,1716267040023,8092,0,0,0,0
86,1716267031931,1716267040023,8092,0,0,0,0
87,1716267031931,1716267040023,8092,0,0,0,0
88,1716267031931,1716267040023,8092,0,0,0,0
89,1716267031931,1716267040023,8092,0,0,0,0
90,1716267031931,1716267040023,8092,0,0,0,0
91,1716267031931,1716267040023,8092,0,0,0,0
92,1716267031932,1716267040023,8091,0,0,0,0
93,1716267031933,1716267040023,8090,0,0,0,0
94,1716267031933,1716267040023,8090,0,0,0,0
95,1716267031933,1716267040023,8090,0,0,0,0
96,1716267031933,1716267040023,8090,0,0,0,0
97,1716267031933,1716267040023,8090,0,0,0,0
98,1716267031933,1716267040023,8090,0,0,0,0
99,1716267031933,1716267040023,8090,0,0,0,0
100,1716267031933,1716267040023,8090,0,0,0,0
101,1716267031933,1716267040023,8090,0,0,0,0
102,1716267031933,1716267040023,8090,0,0,0,0
103,1716267031933,1716267040023,8090,0,0,0,0
104,1716267031933,1716267040023,8090,0,0,0,0
105,1716267031933,1716267040023,8090,0,0,0,0
106,1716267031933,1716267040023,8090,0,0,0,0
107,1716267031934,1716267040023,8089,0,0,0,0
108,1716267031934,1716267040023,8089,0,0,0,0
109,1716267031934,1716267040023,8089,0,0,0,0
110,1716267031934,1716267040023,8089,0,0,0,0
111,1716267031934,1716267040023,8089,0,0,0,0
112,1716267031934,1716267040023,8089,0,0,0,0
113,1716267031934,1716267040023,8089,0,0,0,0
114,1716267031934,1716267040023,8089,0,0,0,0
115,1716267031934,1716267040023,8089,0,0,0,0
116,1716267031934,1716267040023,8089,0,0,0,0
117,1716267031934,1716267040023,8089,0,0,0,0
118,1716267031934,1716267040023,8089,0,0,0,0
119,1716267031935,1716267040023,8088,0,0,0,0
120,1716267031935,1716267040023,8088,0,0,0,0
121,1716267031935,1716267040023,8088,0,0,0,0
122,1716267031935,1716267040023,8088,0,0,0,0
123,1716267031935,1716267040023,8088,0,0,0,0
124,1716267031935,1716267040023,8088,0,0,0,0
125,1716267031935,1716267040023,8088,0,0,0,0
126,1716267031935,1716267040023,8088,0,0,0,0
127,1716267031935,1716267040023,8088,0,0,0,0
128,1716267031935,1716267040023,8088,0,0,0,0
129,1716267031935,1716267040023,8088,0,0,0,0
130,1716267031936,1716267040023,8087,0,0,0,0
131,1716267031936,1716267040023,8087,0,0,0,0
132,1716267031936,1716267040023,8087,0,0,0,0
133,1716267031936,1716267040023,8087,0,0,0,0
134,1716267031936,1716267040023,8087,0,0,0,0
135,1716267031936,1716267040023,8087,0,0,0,0
136,1716267031936,1716267040023,8087,0,0,0,0
137,1716267031936,1716267040023,8087,0,0,0,0
138,1716267031936,1716267040023,8087,0,0,0,0
139,1716267031936,1716267040023,8087,0,0,0,0
140,1716267031936,1716267040023,8087,0,0,0,0
141,1716267031936,1716267040023,8087,0,0,0,0
142,1716267031937,1716267040023,8086,0,0,0,0
143,1716267031937,1716267040023,8086,0,0,0,0
144,1716267031937,1716267040023,8086,0,0,0,0
145,1716267031937,1716267040023,8086,0,0,0,0
146,1716267031937,1716267040023,8086,0,0,0,0
147,1716267031937,1716267040023,8086,0,0,0,0
148,1716267031937,1716267040023,8086,0,0,0,0
149,1716267031937,1716267040023,8086,0,0,0,0
150,1716267031937,1716267040023,8086,0,0,0,0
151,1716267031937,1716267040023,8086,0,0,0,0
152,1716267031937,1716267040023,8086,0,0,0,0
153,1716267031937,1716267040023,8086,0,0,0,0
154,1716267031937,1716267040023,8086,0,0,0,0
155,1716267031937,1716267040023,8086,0,0,0,0
156,1716267031937,1716267040023,8086,0,0,0,0
157,1716267031937,1716267040023,8086,0,0,0,0
158,1716267031937,1716267040023,8086,0,0,0,0
159,1716267031937,1716267040023,8086,0,0,0,0
160,1716267031937,1716267040023,8086,0,0,0,0
161,1716267031937,1716267040023,8086,0,0,0,0
162,1716267031937,1716267040023,8086,0,0,0,0
163,1716267031938,1716267040023,8085,0,0,0,0
164,1716267031938,1716267040023,8085,0,0,0,0
165,1716267031938,1716267040023,8085,0,0,0,0
166,1716267031938,1716267040023,8085,0,0,0,0
167,1716267031939,1716267040023,8084,0,0,0,0
168,1716267031939,1716267040023,8084,0,0,0,0
169,1716267031939,1716267040023,8084,0,0,0,0
170,1716267031939,1716267040023,8084,0,0,0,0
171,1716267031939,1716267040023,8084,0,0,0,0
172,1716267031939,1716267040023,8084,0,0,0,0
173,1716267031939,1716267040023,8084,0,0,0,0
174,1716267031939,1716267040023,8084,0,0,0,0
175,1716267031939,1716267040023,8084,0,0,0,0
176,1716267031939,1716267040023,8084,0,0,0,0
177,1716267031939,1716267040023,8084,0,0,0,0
178,1716267031939,1716267040023,8084,0,0,0,0
179,1716267031940,1716267040023,8083,0,0,0,0
180,1716267031940,1716267040023,8083,0,0,0,0
181,1716267031940,1716267040023,8083,0,0,0,0
182,1716267031940,1716267040023,8083,0,0,0,0
183,1716267031940,1716267040023,8083,0,0,0,0
184,1716267031940,1716267040023,8083,0,0,0,0
185,1716267031940,1716267040023,8083,0,0,0,0
186,1716267031940,1716267040023,8083,0,0,0,0
187,1716267031940,1716267040023,8083,0,0,0,0
188,1716267031940,1716267040023,8083,0,0,0,0
189,1716267031940,1716267040023,8083,0,0,0,0
190,1716267031940,1716267040023,8083,0,0,0,0
191,1716267031941,1716267040023,8082,0,0,0,0
192,1716267031941,1716267040023,8082,0,0,0,0
193,1716267031941,1716267040023,8082,0,0,0,0
194,1716267031941,1716267040023,8082,0,0,0,0
195,1716267031941,1716267040023,8082,0,0,0,0
196,1716267031941,1716267040023,8082,0,0,0,0
197,1716267031941,1716267040023,8082,0,0,0,0
198,1716267031941,1716267040023,8082,0,0,0,0
199,1716267031941,1716267040023,8082,0,0,0,0
200,1716267031941,1716267040023,8082,0,0,0,0
201,1716267031941,1716267040023,8082,0,0,0,0
202,1716267031941,1716267040023,8082,0,0,0,0
203,1716267031941,1716267040023,8082,0,0,0,0
204,1716267031942,1716267040023,8081,0,0,0,0
205,1716267031942,1716267040023,8081,0,0,0,0
206,1716267031942,1716267040023,8081,0,0,0,0
207,1716267031942,1716267040023,8081,0,0,0,0
208,1716267031942,1716267040023,8081,0,0,0,0
209,1716267031942,1716267040023,8081,0,0,0,0
210,1716267031942,1716267040023,8081,0,0,0,0
211,1716267031942,1716267040023,8081,0,0,0,0
212,1716267031942,1716267040023,8081,0,0,0,0
213,1716267031942,1716267040023,8081,0,0,0,0
214,1716267031942,1716267040023,8081,0,0,0,0
215,1716267031942,1716267040023,8081,0,0,0,0
216,1716267031942,1716267040023,8081,0,0,0,0
217,1716267031942,1716267040023,8081,0,0,0,0
218,1716267031942,1716267040023,8081,0,0,0,0
219,1716267031942,1716267040023,8081,0,0,0,0
220,1716267031943,1716267040023,8080,0,0,0,0
221,1716267031943,1716267040023,8080,0,0,0,0
222,1716267031943,1716267040023,8080,0,0,0,0
223,1716267031943,1716267040023,8080,0,0,0,0
224,1716267031943,1716267040023,8080,0,0,0,0
225,1716267031943,1716267040023,8080,0,0,0,0
226,1716267031943,1716267040023,8080,0,0,0,0
227,1716267031943,1716267040023,8080,0,0,0,0
228,1716267031943,1716267040023,8080,0,0,0,0
229,1716267031943,1716267040023,8080,0,0,0,0
230,1716267031943,1716267040023,8080,0,0,0,0
231,1716267031943,1716267040023,8080,0,0,0,0
232,1716267031944,1716267040023,8079,0,0,0,0
233,1716267031944,1716267040023,8079,0,0,0,0
234,1716267031944,1716267040023,8079,0,0,0,0
235,1716267031944,1716267040023,8079,0,0,0,0
236,1716267031944,1716267040023,8079,0,0,0,0
237,1716267031944,1716267040023,8079,0,0,0,0
238,1716267031944,1716267040023,8079,0,0,0,0
239,1716267031944,1716267040023,8079,0,0,0,0
240,1716267031944,1716267040023,8079,0,0,0,0
241,1716267031944,1716267040023,8079,0,0,0,0
242,1716267031944,1716267040023,8079,0,0,0,0
243,1716267031944,1716267040023,8079,0,0,0,0
244,1716267031945,1716267040023,8078,0,0,0,0
