CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
3,1716266915509,1716266915515,6,5,1,0,0
1,1716266915506,1716266915512,6,5,1,0,0
2,1716266915508,1716266915514,6,5,1,0,0
6,1716266915513,1716266915518,5,5,0,0,0
4,1716266915510,1716266915516,6,5,1,0,0
5,1716266915512,1716266915517,5,4,0,0,0
9,1716266915517,1716266915524,7,6,1,0,0
11,1716266915520,1716266915527,7,5,2,0,0
7,1716266915514,1716266915522,8,6,1,0,0
8,1716266915516,1716266915523,7,6,1,0,0
10,1716266915519,1716266915525,6,5,1,0,0
12,1716266915521,1716266915529,8,6,2,0,0
16,1716266915527,1716266915535,8,6,2,0,0
13,1716266915522,1716266915530,8,6,1,0,0
15,1716266915525,1716266915536,11,7,2,0,0
14,1716266915524,1716266915531,7,6,1,0,0
17,1716266915529,1716266915537,8,7,1,0,0
20,1716266915534,1716266915543,9,7,2,0,0
21,1716266915536,1716266915545,9,7,1,0,0
18,1716266915531,1716266915540,9,7,1,0,0
19,1716266915532,1716266915543,11,9,1,0,0
22,1716266915539,1716266915548,9,7,1,0,0
24,1716266915544,1716266915554,10,8,2,0,0
23,1716266915541,1716266915551,10,8,2,0,0
26,1716266915548,1716266915558,10,9,1,0,0
27,1716266915552,1716266915561,9,7,1,0,0
28,1716266915554,1716266915564,10,9,1,0,0
29,1716266915556,1716266915567,11,9,2,0,0
30,1716266915560,1716266915570,10,9,1,0,0
25,1716266915546,1716266915557,11,8,3,0,0
31,1716266915564,1716266915576,12,11,1,0,0
32,1716266915575,1716266915585,10,8,2,0,0
33,1716266915578,1716266915587,9,7,1,0,0
34,1716266915582,1716266915591,9,7,1,0,0
35,1716266915585,1716266915594,9,8,1,0,0
36,1716266915588,1716266915596,8,6,1,0,0
38,1716266915594,1716266915604,10,8,2,0,0
37,1716266915591,1716266915598,7,6,1,0,0
40,1716266915598,1716266915608,10,8,2,0,0
39,1716266915596,1716266915609,13,9,1,0,0
42,1716266915603,1716266915615,12,10,2,0,0
44,1716266915608,1716266915620,12,9,3,0,0
41,1716266915600,1716266915616,16,11,2,0,0
43,1716266915606,1716266915621,15,11,1,0,0
45,1716266915611,1716266915627,16,11,2,0,0
46,1716266915613,1716266915625,12,10,1,0,0
47,1716266915616,1716266915625,9,7,2,0,0
49,1716266915620,1716266915630,10,9,1,0,0
48,1716266915618,1716266915629,11,9,2,0,0
50,1716266915623,1716266915632,9,7,1,0,0
51,1716266915626,1716266915634,8,6,1,0,0
53,1716266915630,1716266915640,10,8,1,0,0
52,1716266915629,1716266915638,9,7,1,0,0
54,1716266915632,1716266915643,11,9,2,0,0
55,1716266915635,1716266915645,10,8,2,0,0
56,1716266915638,1716266915647,9,7,1,0,0
59,1716266915646,1716266915656,10,7,2,0,0
58,1716266915643,1716266915658,15,10,2,0,0
57,1716266915642,1716266915658,16,8,8,0,0
60,1716266915647,1716266915657,10,8,1,0,0
63,1716266915653,1716266915662,9,8,1,0,0
61,1716266915649,1716266915666,17,11,2,0,0
62,1716266915651,1716266915663,12,9,1,0,0
65,1716266915658,1716266915669,11,10,1,0,0
64,1716266915657,1716266915672,15,10,2,0,0
68,1716266915667,1716266915677,10,8,2,0,0
67,1716266915663,1716266915682,19,12,4,0,0
71,1716266915676,1716266915688,12,10,1,0,0
70,1716266915674,1716266915689,15,12,2,0,0
66,1716266915661,1716266915683,22,13,2,0,0
74,1716266915683,1716266915695,12,10,2,0,0
69,1716266915672,1716266915691,19,14,2,0,0
72,1716266915678,1716266915697,19,14,2,0,0
73,1716266915681,1716266915703,22,11,5,0,0
77,1716266915691,1716266915705,14,10,4,0,0
76,1716266915688,1716266915708,20,13,4,0,0
75,1716266915686,1716266915709,23,15,2,0,0
82,1716266915706,1716266915719,13,10,3,0,0
79,1716266915696,1716266915724,28,15,2,0,0
80,1716266915701,1716266915726,25,11,13,0,0
78,1716266915696,1716266915725,29,15,6,0,0
83,1716266915711,1716266915734,23,15,2,0,0
84,1716266915713,1716266915732,19,14,2,0,0
86,1716266915723,1716266915738,15,12,2,0,0
81,1716266915702,1716266915729,27,10,12,0,0
87,1716266915728,1716266915741,13,10,2,0,0
88,1716266915727,1716266915742,15,9,2,0,0
85,1716266915717,1716266915736,19,10,9,0,0
91,1716266915735,1716266915749,14,11,3,0,0
90,1716266915732,1716266915749,17,11,6,0,0
89,1716266915731,1716266915749,18,11,2,0,0
93,1716266915740,1716266915752,12,11,1,0,0
92,1716266915738,1716266915755,17,12,1,0,0
94,1716266915747,1716266915757,10,8,2,0,0
95,1716266915750,1716266915760,10,8,2,0,0
96,1716266915753,1716266915763,10,8,2,0,0
97,1716266915755,1716266915766,11,8,3,0,0
99,1716266915765,1716266915776,11,8,2,0,0
98,1716266915763,1716266915775,12,9,3,0,0
101,1716266915771,1716266915782,11,8,2,0,0
102,1716266915773,1716266915788,15,12,2,0,0
100,1716266915771,1716266915784,13,9,2,0,0
105,1716266915782,1716266915794,12,10,1,0,0
104,1716266915781,1716266915792,11,9,2,0,0
103,1716266915776,1716266915790,14,11,1,0,0
