CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716267040025,1716267040031,6,0,0,0,0
1,1716267040031,1716267040076,45,0,0,0,0
2,1716267040076,1716267040123,47,0,0,0,0
3,1716267040123,1716267040171,48,0,0,0,0
4,1716267040171,1716267040220,49,0,0,0,0
5,1716267040220,1716267040268,48,0,0,0,0
6,1716267040268,1716267040316,48,0,0,0,0
7,1716267040316,1716267040364,48,0,0,0,0
8,1716267040364,1716267040411,47,0,0,0,0
9,1716267040411,1716267040459,48,0,0,0,0
10,1716267040459,1716267040508,49,0,0,0,0
11,1716267040508,1716267040556,48,0,0,0,0
12,1716267040556,1716267040604,48,0,0,0,0
13,1716267040604,1716267040656,52,0,0,0,0
14,1716267040656,1716267040708,52,0,0,0,0
15,1716267040708,1716267040759,51,0,0,0,0
16,1716267040759,1716267040807,48,0,0,0,0
17,1716267040807,1716267040851,44,0,0,0,0
18,1716267040851,1716267040896,45,0,0,0,0
19,1716267040896,1716267040944,48,0,0,0,0
20,1716267040944,1716267040992,48,0,0,0,0
21,1716267040992,1716267041041,49,0,0,0,0
22,1716267041041,1716267041088,47,0,0,0,0
23,1716267041088,1716267041136,48,0,0,0,0
24,1716267041136,1716267041183,47,0,0,0,0
25,1716267041183,1716267041232,49,0,0,0,0
26,1716267041232,1716267041280,48,0,0,0,0
27,1716267041280,1716267041328,48,0,0,0,0
28,1716267041328,1716267041376,48,0,0,0,0
29,1716267041376,1716267041424,48,0,0,0,0
30,1716267041424,1716267041472,48,0,0,0,0
31,1716267041472,1716267041520,48,0,0,0,0
32,1716267041520,1716267041569,49,0,0,0,0
33,1716267041569,1716267041617,48,0,0,0,0
34,1716267041617,1716267041668,51,0,0,0,0
35,1716267041668,1716267041716,48,0,0,0,0
36,1716267041716,1716267041768,52,0,0,0,0
37,1716267041768,1716267041816,48,0,0,0,0
38,1716267041816,1716267041864,48,0,0,0,0
39,1716267041864,1716267041912,48,0,0,0,0
40,1716267041912,1716267041959,47,0,0,0,0
41,1716267041959,1716267042007,48,0,0,0,0
42,1716267042007,1716267042056,49,0,0,0,0
43,1716267042056,1716267042103,47,0,0,0,0
44,1716267042103,1716267042151,48,0,0,0,0
45,1716267042151,1716267042199,48,0,0,0,0
46,1716267042199,1716267042247,48,0,0,0,0
47,1716267042247,1716267042295,48,0,0,0,0
48,1716267042295,1716267042343,48,0,0,0,0
49,1716267042343,1716267042392,49,0,0,0,0
50,1716267042392,1716267042439,47,0,0,0,0
51,1716267042440,1716267042487,47,0,0,0,0
52,1716267042487,1716267042535,48,0,0,0,0
53,1716267042535,1716267042584,49,0,0,0,0
54,1716267042584,1716267042631,47,0,0,0,0
55,1716267042631,1716267042680,49,0,0,0,0
56,1716267042680,1716267042732,52,0,0,0,0
57,1716267042732,1716267042783,51,0,0,0,0
58,1716267042783,1716267042827,44,0,0,0,0
59,1716267042827,1716267042871,44,0,0,0,0
60,1716267042871,1716267042915,44,0,0,0,0
61,1716267042915,1716267042960,45,0,0,0,0
62,1716267042960,1716267043007,47,0,0,0,0
63,1716267043007,1716267043055,48,0,0,0,0
64,1716267043055,1716267043103,48,0,0,0,0
65,1716267043103,1716267043152,49,0,0,0,0
66,1716267043152,1716267043200,48,0,0,0,0
67,1716267043200,1716267043247,47,0,0,0,0
68,1716267043247,1716267043295,48,0,0,0,0
69,1716267043295,1716267043343,48,0,0,0,0
70,1716267043343,1716267043393,50,0,0,0,0
71,1716267043393,1716267043451,58,0,0,0,0
72,1716267043451,1716267043499,48,0,0,0,0
73,1716267043500,1716267043547,47,0,0,0,0
74,1716267043547,1716267043596,49,0,0,0,0
75,1716267043596,1716267043639,43,0,0,0,0
76,1716267043639,1716267043688,49,0,0,0,0
77,1716267043688,1716267043740,52,0,0,0,0
78,1716267043740,1716267043792,52,0,0,0,0
79,1716267043792,1716267043839,47,0,0,0,0
80,1716267043839,1716267043884,45,0,0,0,0
81,1716267043884,1716267043931,47,0,0,0,0
82,1716267043931,1716267043979,48,0,0,0,0
83,1716267043980,1716267044028,48,0,0,0,0
84,1716267044028,1716267044075,47,0,0,0,0
85,1716267044075,1716267044123,48,0,0,0,0
86,1716267044123,1716267044172,49,0,0,0,0
87,1716267044172,1716267044219,47,0,0,0,0
88,1716267044219,1716267044268,49,0,0,0,0
89,1716267044268,1716267044315,47,0,0,0,0
90,1716267044315,1716267044363,48,0,0,0,0
91,1716267044363,1716267044411,48,0,0,0,0
92,1716267044411,1716267044459,48,0,0,0,0
93,1716267044459,1716267044507,48,0,0,0,0
94,1716267044507,1716267044556,49,0,0,0,0
95,1716267044556,1716267044604,48,0,0,0,0
96,1716267044604,1716267044652,48,0,0,0,0
97,1716267044652,1716267044699,47,0,0,0,0
98,1716267044699,1716267044751,52,0,0,0,0
99,1716267044751,1716267044799,48,0,0,0,0
100,1716267044799,1716267044848,49,0,0,0,0
101,1716267044848,1716267044896,48,0,0,0,0
102,1716267044896,1716267044944,48,0,0,0,0
103,1716267044944,1716267044996,52,0,0,0,0
104,1716267044996,1716267045044,48,0,0,0,0
105,1716267045044,1716267045092,48,0,0,0,0
106,1716267045092,1716267045139,47,0,0,0,0
107,1716267045139,1716267045187,48,0,0,0,0
108,1716267045187,1716267045235,48,0,0,0,0
109,1716267045235,1716267045283,48,0,0,0,0
110,1716267045283,1716267045331,48,0,0,0,0
111,1716267045331,1716267045380,49,0,0,0,0
112,1716267045380,1716267045428,48,0,0,0,0
113,1716267045428,1716267045475,47,0,0,0,0
114,1716267045475,1716267045523,48,0,0,0,0
115,1716267045523,1716267045571,48,0,0,0,0
116,1716267045571,1716267045620,49,0,0,0,0
117,1716267045620,1716267045682,62,0,0,0,0
118,1716267045682,1716267045731,49,0,0,0,0
119,1716267045731,1716267045780,49,0,0,0,0
120,1716267045780,1716267045827,47,0,0,0,0
121,1716267045827,1716267045872,45,0,0,0,0
122,1716267045872,1716267045920,48,0,0,0,0
123,1716267045920,1716267045968,48,0,0,0,0
124,1716267045968,1716267046015,47,0,0,0,0
125,1716267046015,1716267046063,48,0,0,0,0
126,1716267046063,1716267046111,48,0,0,0,0
127,1716267046111,1716267046160,49,0,0,0,0
128,1716267046160,1716267046208,48,0,0,0,0
129,1716267046208,1716267046251,43,0,0,0,0
130,1716267046251,1716267046300,49,0,0,0,0
131,1716267046300,1716267046351,51,0,0,0,0
132,1716267046351,1716267046401,50,0,0,0,0
133,1716267046401,1716267046447,46,0,0,0,0
134,1716267046447,1716267046491,44,0,0,0,0
135,1716267046491,1716267046539,48,0,0,0,0
136,1716267046539,1716267046588,49,0,0,0,0
137,1716267046588,1716267046635,47,0,0,0,0
138,1716267046635,1716267046679,44,0,0,0,0
139,1716267046679,1716267046732,53,0,0,0,0
140,1716267046733,1716267046783,50,0,0,0,0
141,1716267046783,1716267046827,44,0,0,0,0
142,1716267046827,1716267046872,45,0,0,0,0
143,1716267046872,1716267046916,44,0,0,0,0
144,1716267046916,1716267046959,43,0,0,0,0
145,1716267046959,1716267047003,44,0,0,0,0
146,1716267047003,1716267047052,49,0,0,0,0
147,1716267047052,1716267047095,43,0,0,0,0
148,1716267047095,1716267047139,44,0,0,0,0
149,1716267047139,1716267047183,44,0,0,0,0
150,1716267047183,1716267047227,44,0,0,0,0
151,1716267047227,1716267047271,44,0,0,0,0
152,1716267047271,1716267047315,44,0,0,0,0
153,1716267047315,1716267047359,44,0,0,0,0
154,1716267047359,1716267047403,44,0,0,0,0
155,1716267047403,1716267047448,45,0,0,0,0
156,1716267047448,1716267047500,52,0,0,0,0
157,1716267047500,1716267047548,48,0,0,0,0
158,1716267047548,1716267047596,48,0,0,0,0
159,1716267047596,1716267047643,47,0,0,0,0
160,1716267047643,1716267047692,49,0,0,0,0
161,1716267047692,1716267047739,47,0,0,0,0
162,1716267047739,1716267047791,52,0,0,0,0
163,1716267047791,1716267047840,49,0,0,0,0
164,1716267047840,1716267047884,44,0,0,0,0
