CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716267154375,1716267154952,577,510,65,0,0
5,1716267154375,1716267154952,577,513,62,0,0
4,1716267154375,1716267154952,577,513,62,0,0
2,1716267154375,1716267154952,577,513,59,0,0
3,1716267154375,1716267154952,577,513,59,0,0
1,1716267154375,1716267154952,577,512,56,0,0
6,1716267154376,1716267154952,576,513,63,0,0
7,1716267154376,1716267154952,576,515,60,0,0
8,1716267154376,1716267154953,577,515,61,0,0
11,1716267154376,1716267154953,577,521,56,0,0
9,1716267154376,1716267154953,577,518,58,0,0
10,1716267154376,1716267154953,577,519,58,0,0
12,1716267154376,1716267154975,599,555,44,0,0
13,1716267154376,1716267154979,603,559,43,0,0
14,1716267154376,1716267154979,603,559,44,0,0
15,1716267154377,1716267154983,606,562,42,0,0
17,1716267154377,1716267154983,606,562,44,0,0
16,1716267154377,1716267154983,606,562,43,0,0
18,1716267154377,1716267155024,647,598,49,0,0
19,1716267154377,1716267155024,647,602,44,0,0
20,1716267154377,1716267155024,647,602,45,0,0
21,1716267154377,1716267155028,651,606,43,0,0
22,1716267154377,1716267155028,651,606,44,0,0
23,1716267154377,1716267155028,651,606,44,0,0
24,1716267154377,1716267155068,691,646,43,0,0
25,1716267154378,1716267155068,690,645,43,0,0
26,1716267154378,1716267155068,690,646,44,0,0
27,1716267154378,1716267155072,694,649,43,0,0
28,1716267154378,1716267155072,694,649,44,0,0
29,1716267154378,1716267155072,694,649,44,0,0
30,1716267154378,1716267155112,734,689,43,0,0
31,1716267154378,1716267155112,734,689,44,0,0
32,1716267154378,1716267155112,734,689,44,0,0
33,1716267154378,1716267155119,741,693,46,0,0
34,1716267154378,1716267155119,741,693,47,0,0
35,1716267154379,1716267155119,740,692,47,0,0
36,1716267154379,1716267155156,777,732,43,0,0
37,1716267154379,1716267155156,777,732,44,0,0
38,1716267154379,1716267155156,777,732,44,0,0
39,1716267154379,1716267155168,789,740,47,0,0
40,1716267154379,1716267155168,789,740,48,0,0
41,1716267154379,1716267155168,789,740,48,0,0
42,1716267154379,1716267155199,820,776,42,0,0
43,1716267154380,1716267155199,819,775,43,0,0
44,1716267154380,1716267155199,819,775,43,0,0
45,1716267154380,1716267155211,831,787,42,0,0
46,1716267154380,1716267155211,831,787,43,0,0
47,1716267154380,1716267155211,831,787,43,0,0
48,1716267154380,1716267155243,863,819,42,0,0
49,1716267154380,1716267155243,863,819,43,0,0
50,1716267154380,1716267155243,863,819,43,0,0
51,1716267154380,1716267155256,876,831,43,0,0
52,1716267154380,1716267155256,876,831,44,0,0
53,1716267154381,1716267155256,875,830,44,0,0
54,1716267154381,1716267155288,907,862,43,0,0
55,1716267154381,1716267155288,907,862,44,0,0
56,1716267154381,1716267155288,907,862,44,0,0
57,1716267154381,1716267155300,919,874,42,0,0
58,1716267154381,1716267155300,919,875,43,0,0
59,1716267154381,1716267155300,919,875,44,0,0
60,1716267154381,1716267155332,951,906,43,0,0
61,1716267154381,1716267155332,951,906,44,0,0
62,1716267154381,1716267155332,951,906,44,0,0
63,1716267154381,1716267155347,966,918,46,0,0
64,1716267154382,1716267155347,965,917,47,0,0
65,1716267154382,1716267155348,966,917,48,0,0
66,1716267154382,1716267155375,993,949,42,0,0
67,1716267154382,1716267155375,993,949,43,0,0
68,1716267154382,1716267155375,993,949,43,0,0
69,1716267154382,1716267155396,1014,965,47,0,0
70,1716267154382,1716267155396,1014,965,48,0,0
71,1716267154382,1716267155396,1014,965,48,0,0
72,1716267154383,1716267155420,1037,992,43,0,0
73,1716267154383,1716267155420,1037,993,44,0,0
74,1716267154383,1716267155420,1037,993,44,0,0
75,1716267154383,1716267155439,1056,1012,43,0,0
76,1716267154383,1716267155439,1056,1012,43,0,0
77,1716267154383,1716267155440,1057,1012,45,0,0
78,1716267154383,1716267155463,1080,1036,41,0,0
79,1716267154383,1716267155463,1080,1036,42,0,0
80,1716267154383,1716267155463,1080,1036,43,0,0
81,1716267154383,1716267155484,1101,1056,43,0,0
82,1716267154383,1716267155484,1101,1056,44,0,0
83,1716267154383,1716267155484,1101,1056,44,0,0
84,1716267154383,1716267155508,1125,1080,43,0,0
85,1716267154383,1716267155508,1125,1080,44,0,0
86,1716267154383,1716267155508,1125,1080,44,0,0
87,1716267154383,1716267155527,1144,1100,42,0,0
88,1716267154383,1716267155527,1144,1100,43,0,0
89,1716267154384,1716267155527,1143,1100,43,0,0
90,1716267154384,1716267155552,1168,1123,43,0,0
91,1716267154384,1716267155553,1169,1123,45,0,0
92,1716267154384,1716267155553,1169,1124,45,0,0
93,1716267154384,1716267155572,1188,1143,43,0,0
94,1716267154384,1716267155572,1188,1143,44,0,0
95,1716267154384,1716267155572,1188,1143,44,0,0
98,1716267154384,1716267155596,1212,1167,44,0,0
96,1716267154384,1716267155596,1212,1167,43,0,0
97,1716267154384,1716267155596,1212,1167,44,0,0
99,1716267154385,1716267155620,1235,1186,47,0,0
100,1716267154385,1716267155620,1235,1186,48,0,0
101,1716267154385,1716267155620,1235,1186,48,0,0
103,1716267154385,1716267155640,1255,1210,44,0,0
104,1716267154385,1716267155640,1255,1210,44,0,0
102,1716267154385,1716267155640,1255,1210,43,0,0
105,1716267154385,1716267155664,1279,1234,43,0,0
106,1716267154385,1716267155664,1279,1234,44,0,0
107,1716267154386,1716267155664,1278,1233,44,0,0
108,1716267154386,1716267155688,1302,1253,46,0,0
109,1716267154386,1716267155688,1302,1254,47,0,0
110,1716267154386,1716267155688,1302,1254,48,0,0
111,1716267154386,1716267155712,1326,1277,47,0,0
112,1716267154386,1716267155712,1326,1277,48,0,0
113,1716267154386,1716267155712,1326,1277,48,0,0
114,1716267154386,1716267155736,1350,1301,47,0,0
115,1716267154386,1716267155736,1350,1301,48,0,0
116,1716267154386,1716267155736,1350,1301,48,0,0
118,1716267154387,1716267155760,1373,1326,46,0,0
119,1716267154387,1716267155760,1373,1326,47,0,0
117,1716267154386,1716267155763,1377,1327,49,0,0
120,1716267154387,1716267155784,1397,1349,47,0,0
121,1716267154387,1716267155784,1397,1349,47,0,0
122,1716267154387,1716267155784,1397,1349,48,0,0
123,1716267154387,1716267155824,1437,1372,64,0,0
124,1716267154387,1716267155824,1437,1372,65,0,0
125,1716267154387,1716267155824,1437,1376,61,0,0
126,1716267154387,1716267155828,1441,1396,44,0,0
127,1716267154387,1716267155829,1442,1396,45,0,0
128,1716267154387,1716267155829,1442,1396,46,0,0
129,1716267154387,1716267155861,1474,1420,53,0,0
130,1716267154387,1716267155861,1474,1420,54,0,0
131,1716267154388,1716267155862,1474,1423,51,0,0
132,1716267154388,1716267155874,1486,1439,45,0,0
133,1716267154388,1716267155874,1486,1439,46,0,0
134,1716267154388,1716267155875,1487,1439,47,0,0
135,1716267154388,1716267155895,1507,1463,43,0,0
136,1716267154388,1716267155895,1507,1463,44,0,0
137,1716267154388,1716267155899,1511,1466,44,0,0
138,1716267154388,1716267155916,1528,1483,43,0,0
139,1716267154388,1716267155916,1528,1483,44,0,0
140,1716267154388,1716267155917,1529,1483,45,0,0
143,1716267154389,1716267155944,1555,1510,45,0,0
141,1716267154389,1716267155944,1555,1506,48,0,0
142,1716267154389,1716267155944,1555,1506,49,0,0
144,1716267154389,1716267155960,1571,1526,43,0,0
145,1716267154389,1716267155960,1571,1526,44,0,0
146,1716267154389,1716267155960,1571,1526,44,0,0
148,1716267154389,1716267155987,1598,1554,43,0,0
149,1716267154389,1716267155987,1598,1554,43,0,0
147,1716267154389,1716267155991,1602,1554,46,0,0
150,1716267154389,1716267156008,1619,1570,47,0,0
151,1716267154389,1716267156008,1619,1570,48,0,0
152,1716267154390,1716267156008,1618,1569,48,0,0
153,1716267154390,1716267156032,1642,1597,44,0,0
154,1716267154390,1716267156032,1642,1597,45,0,0
155,1716267154390,1716267156039,1649,1601,48,0,0
156,1716267154390,1716267156051,1661,1617,42,0,0
157,1716267154390,1716267156051,1661,1617,43,0,0
158,1716267154390,1716267156051,1661,1617,43,0,0
159,1716267154390,1716267156075,1685,1641,43,0,0
160,1716267154390,1716267156075,1685,1641,44,0,0
161,1716267154390,1716267156087,1697,1649,48,0,0
162,1716267154390,1716267156096,1706,1661,43,0,0
163,1716267154390,1716267156096,1706,1662,43,0,0
164,1716267154390,1716267156096,1706,1662,44,0,0
165,1716267154390,1716267156120,1730,1685,44,0,0
166,1716267154390,1716267156120,1730,1685,45,0,0
167,1716267154391,1716267156135,1744,1696,48,0,0
168,1716267154391,1716267156140,1749,1704,43,0,0
170,1716267154391,1716267156140,1749,1704,44,0,0
169,1716267154391,1716267156140,1749,1704,44,0,0
