CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
1,1716417213571,1716417213597,26,15,11,0,0
4,1716417213575,1716417213600,25,15,10,0,0
3,1716417213574,1716417213601,27,16,10,0,0
2,1716417213573,1716417213600,27,16,11,0,0
6,1716417213578,1716417213603,25,15,10,0,0
5,1716417213577,1716417213602,25,14,11,0,0
7,1716417213580,1716417213604,24,14,10,0,0
8,1716417213581,1716417213607,26,15,11,0,0
9,1716417213583,1716417213607,24,14,10,0,0
10,1716417213584,1716417213608,24,14,10,0,0
12,1716417213586,1716417213611,25,14,11,0,0
11,1716417213585,1716417213610,25,14,10,0,0
15,1716417213591,1716417213615,24,14,10,0,0
16,1716417213592,1716417213617,25,15,10,0,0
13,1716417213588,1716417213613,25,14,10,0,0
18,1716417213594,1716417213619,25,14,11,0,0
19,1716417213596,1716417213622,26,15,11,0,0
17,1716417213593,1716417213618,25,14,11,0,0
21,1716417213598,1716417213624,26,15,11,0,0
20,1716417213597,1716417213623,26,15,11,0,0
14,1716417213589,1716417213614,25,15,10,0,0
22,1716417213600,1716417213626,26,14,12,0,0
24,1716417213602,1716417213628,26,14,11,1,0
23,1716417213601,1716417213626,25,14,11,0,0
27,1716417213607,1716417213632,25,14,11,0,0
26,1716417213605,1716417213631,26,15,11,0,0
31,1716417213613,1716417213640,27,16,11,0,0
28,1716417213609,1716417213633,24,14,10,0,0
25,1716417213604,1716417213629,25,14,11,0,0
32,1716417213616,1716417213646,30,16,14,0,0
30,1716417213612,1716417213640,28,16,12,0,0
35,1716417213622,1716417213652,30,18,12,0,0
36,1716417213625,1716417213657,32,17,15,0,0
34,1716417213620,1716417213659,39,18,21,0,0
29,1716417213610,1716417213647,37,15,22,0,0
33,1716417213618,1716417213647,29,17,12,0,0
39,1716417213632,1716417213663,31,18,13,0,0
37,1716417213628,1716417213662,34,16,18,0,0
40,1716417213647,1716417213675,28,18,10,0,0
41,1716417213639,1716417213673,34,17,17,0,0
44,1716417213666,1716417213693,27,17,10,0,0
42,1716417213662,1716417213693,31,17,13,0,0
38,1716417213630,1716417213674,44,32,12,0,0
43,1716417213669,1716417213698,29,19,10,0,0
46,1716417213685,1716417213715,30,18,12,0,0
48,1716417213689,1716417213716,27,17,10,0,0
45,1716417213687,1716417213715,28,18,10,0,0
50,1716417213698,1716417213726,28,17,11,0,0
49,1716417213695,1716417213723,28,17,11,0,0
47,1716417213694,1716417213722,28,17,11,0,0
51,1716417213701,1716417213730,29,18,10,0,0
56,1716417213715,1716417213742,27,17,10,0,0
52,1716417213704,1716417213732,28,17,11,0,0
53,1716417213706,1716417213733,27,17,10,0,0
57,1716417213717,1716417213744,27,16,11,0,0
54,1716417213709,1716417213737,28,17,11,0,0
59,1716417213721,1716417213748,27,17,10,0,0
55,1716417213713,1716417213739,26,16,10,0,0
