CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716417150065,1716417150093,28,17,11,0,0
1,1716417150128,1716417150153,25,14,11,0,0
2,1716417150189,1716417150215,26,16,10,0,0
3,1716417150251,1716417150278,27,17,10,0,0
4,1716417150313,1716417150339,26,15,11,0,0
5,1716417150374,1716417150399,25,15,10,0,0
6,1716417150435,1716417150460,25,14,11,0,0
7,1716417150494,1716417150521,27,15,12,0,0
8,1716417150555,1716417150581,26,15,11,0,0
9,1716417150616,1716417150643,27,16,11,0,0
10,1716417150678,1716417150705,27,16,11,0,0
11,1716417150739,1716417150765,26,15,11,0,0
12,1716417150800,1716417150826,26,15,11,0,0
13,1716417150861,1716417150886,25,15,10,0,0
14,1716417150921,1716417150947,26,15,11,0,0
15,1716417150983,1716417151008,25,15,10,0,0
16,1716417151043,1716417151069,26,14,12,0,0
17,1716417151104,1716417151129,25,14,11,0,0
18,1716417151163,1716417151190,27,16,11,0,0
19,1716417151225,1716417151251,26,15,11,0,0
20,1716417151285,1716417151311,26,16,10,0,0
21,1716417151346,1716417151375,29,16,13,0,0
22,1716417151411,1716417151438,27,15,12,0,0
23,1716417151473,1716417151499,26,16,10,0,0
24,1716417151535,1716417151561,26,15,11,0,0
25,1716417151596,1716417151622,26,14,12,0,0
26,1716417151657,1716417151685,28,15,13,0,0
27,1716417151720,1716417151747,27,15,12,0,0
28,1716417151782,1716417151808,26,14,11,0,0
29,1716417151843,1716417151870,27,16,11,0,0
30,1716417151906,1716417151931,25,15,10,0,0
31,1716417151966,1716417151993,27,17,10,0,0
32,1716417152028,1716417152055,27,17,10,0,0
33,1716417152090,1716417152115,25,14,11,0,0
34,1716417152149,1716417152174,25,14,11,0,0
35,1716417152209,1716417152235,26,15,11,0,0
36,1716417152270,1716417152295,25,15,10,0,0
37,1716417152330,1716417152355,25,15,10,0,0
38,1716417152390,1716417152417,27,16,11,0,0
39,1716417152452,1716417152478,26,15,11,0,0
40,1716417152513,1716417152538,25,15,10,0,0
41,1716417152572,1716417152599,27,15,12,0,0
42,1716417152635,1716417152661,26,15,11,0,0
43,1716417152696,1716417152722,26,16,10,0,0
44,1716417152757,1716417152782,25,15,10,0,0
45,1716417152816,1716417152844,28,17,11,0,0
46,1716417152879,1716417152905,26,15,11,0,0
47,1716417152940,1716417152966,26,15,11,0,0
48,1716417153001,1716417153027,26,15,11,0,0
49,1716417153062,1716417153087,25,15,10,0,0
50,1716417153122,1716417153147,25,15,10,0,0
51,1716417153182,1716417153208,26,15,11,0,0
52,1716417153243,1716417153268,25,15,10,0,0
53,1716417153303,1716417153363,60,18,42,0,0
54,1716417153398,1716417153424,26,15,11,0,0
55,1716417153459,1716417153485,26,15,11,0,0
56,1716417153521,1716417153546,25,15,10,0,0
57,1716417153581,1716417153607,26,15,11,0,0
58,1716417153642,1716417153669,27,16,11,0,0
59,1716417153703,1716417153730,27,17,10,0,0
60,1716417153765,1716417153790,25,15,10,0,0
61,1716417153825,1716417153850,25,15,10,0,0
62,1716417153887,1716417153912,25,14,10,0,0
63,1716417153946,1716417153971,25,14,11,0,0
64,1716417154005,1716417154032,27,15,12,0,0
65,1716417154067,1716417154092,25,14,10,0,0
66,1716417154127,1716417154154,27,16,11,0,0
67,1716417154190,1716417154216,26,14,11,0,0
68,1716417154251,1716417154279,28,15,13,0,0
69,1716417154314,1716417154341,27,16,11,0,0
70,1716417154375,1716417154401,26,15,11,0,0
71,1716417154435,1716417154462,27,16,11,0,0
72,1716417154497,1716417154523,26,15,10,0,0
73,1716417154558,1716417154583,25,14,10,0,0
74,1716417154619,1716417154645,26,16,10,0,0
75,1716417154680,1716417154706,26,15,11,0,0
76,1716417154741,1716417154767,26,15,11,0,0
77,1716417154802,1716417154827,25,15,10,0,0
78,1716417154863,1716417154888,25,15,10,0,0
79,1716417154923,1716417154949,26,16,10,0,0
80,1716417154984,1716417155009,25,15,10,0,0
81,1716417155045,1716417155070,25,14,10,0,0
82,1716417155106,1716417155131,25,14,11,0,0
83,1716417155166,1716417155191,25,15,10,0,0
84,1716417155226,1716417155252,26,16,10,0,0
85,1716417155287,1716417155312,25,15,10,0,0
86,1716417155347,1716417155372,25,14,10,0,0
87,1716417155407,1716417155433,26,15,11,0,0
88,1716417155468,1716417155493,25,15,10,0,0
89,1716417155529,1716417155554,25,14,11,0,0
90,1716417155589,1716417155615,26,15,11,0,0
91,1716417155650,1716417155677,27,16,11,0,0
92,1716417155713,1716417155739,26,15,11,0,0
93,1716417155775,1716417155800,25,14,11,0,0
94,1716417155835,1716417155862,27,16,11,0,0
95,1716417155898,1716417155923,25,14,11,0,0
96,1716417155958,1716417155984,26,15,11,0,0
97,1716417156019,1716417156045,26,15,10,1,0
98,1716417156080,1716417156106,26,16,10,0,0
99,1716417156141,1716417156166,25,14,11,0,0
100,1716417156201,1716417156226,25,15,10,0,0
101,1716417156261,1716417156289,28,16,11,0,0
102,1716417156324,1716417156350,26,15,10,0,0
103,1716417156385,1716417156410,25,15,10,0,0
104,1716417156445,1716417156470,25,15,10,0,0
105,1716417156505,1716417156533,28,16,11,0,0
106,1716417156568,1716417156595,27,15,12,0,0
107,1716417156631,1716417156659,28,15,12,0,0
108,1716417156695,1716417156720,25,15,10,0,0
