CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716415732501,1716415732521,20,8,12,0,0
1,1716415732521,1716415732578,57,4,53,0,0
2,1716415732578,1716415732638,60,5,55,0,0
3,1716415732638,1716415732698,60,5,55,0,0
4,1716415732698,1716415732758,60,6,54,0,0
5,1716415732758,1716415732818,60,6,54,0,0
6,1716415732818,1716415732878,60,6,54,0,0
7,1716415732878,1716415732940,62,6,56,0,0
8,1716415732940,1716415732998,58,5,53,0,0
9,1716415732998,1716415733058,60,6,54,0,0
10,1716415733058,1716415733118,60,7,53,0,0
11,1716415733119,1716415733178,59,5,54,0,0
12,1716415733178,1716415733238,60,6,54,0,0
13,1716415733238,1716415733298,60,6,54,0,0
14,1716415733298,1716415733362,64,6,58,0,0
15,1716415733362,1716415733432,70,8,62,0,0
16,1716415733432,1716415733490,58,6,52,0,0
17,1716415733490,1716415733550,60,7,53,0,0
18,1716415733550,1716415733610,60,7,53,0,0
19,1716415733610,1716415733670,60,7,53,0,0
20,1716415733670,1716415733730,60,6,54,0,0
21,1716415733730,1716415733790,60,6,54,0,0
22,1716415733790,1716415733850,60,6,54,0,0
23,1716415733850,1716415733910,60,6,54,0,0
24,1716415733910,1716415733970,60,7,53,0,0
25,1716415733970,1716415734030,60,6,54,0,0
26,1716415734030,1716415734090,60,6,54,0,0
27,1716415734090,1716415734150,60,6,54,0,0
28,1716415734150,1716415734215,65,7,58,0,0
29,1716415734215,1716415734279,64,5,59,0,0
30,1716415734279,1716415734342,63,5,57,0,0
31,1716415734342,1716415734402,60,5,55,0,0
32,1716415734402,1716415734462,60,6,54,0,0
33,1716415734462,1716415734522,60,6,54,0,0
34,1716415734522,1716415734582,60,6,54,0,0
35,1716415734582,1716415734642,60,6,54,0,0
36,1716415734642,1716415734702,60,6,54,0,0
37,1716415734702,1716415734762,60,7,53,0,0
38,1716415734762,1716415734822,60,7,53,0,0
39,1716415734822,1716415734882,60,6,54,0,0
40,1716415734882,1716415734942,60,6,54,0,0
41,1716415734942,1716415735002,60,6,53,0,0
42,1716415735002,1716415735063,61,6,55,0,0
43,1716415735063,1716415735122,59,5,54,0,0
44,1716415735122,1716415735182,60,6,54,0,0
45,1716415735182,1716415735242,60,6,54,0,0
46,1716415735242,1716415735302,60,6,54,0,0
47,1716415735302,1716415735361,59,5,54,0,0
48,1716415735361,1716415735422,61,7,54,0,0
49,1716415735422,1716415735482,60,7,53,0,0
50,1716415735482,1716415735542,60,6,54,0,0
51,1716415735542,1716415735602,60,6,53,0,0
52,1716415735602,1716415735662,60,6,54,0,0
