CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716415792926,1716415793527,601,534,67,0,0
1,1716415792927,1716415793527,600,541,59,0,0
4,1716415792927,1716415793527,600,541,59,0,0
5,1716415792927,1716415793528,601,542,59,0,0
2,1716415792927,1716415793528,601,542,59,0,0
3,1716415792927,1716415793528,601,543,58,0,0
6,1716415792927,1716415793528,601,546,55,0,0
8,1716415792927,1716415793533,606,554,52,0,0
10,1716415792928,1716415793539,611,555,56,0,0
9,1716415792927,1716415793539,612,557,55,0,0
7,1716415792927,1716415793539,612,554,57,0,0
11,1716415792928,1716415793539,611,555,56,0,0
12,1716415792928,1716415793585,657,601,56,0,0
14,1716415792928,1716415793595,667,614,53,0,0
13,1716415792928,1716415793595,667,608,59,0,0
16,1716415792928,1716415793595,667,613,54,0,0
15,1716415792928,1716415793595,667,614,53,0,0
17,1716415792928,1716415793595,667,613,54,0,0
18,1716415792928,1716415793646,718,660,58,0,0
19,1716415792928,1716415793651,723,671,52,0,0
20,1716415792929,1716415793652,723,669,54,0,0
23,1716415792929,1716415793655,726,668,58,0,0
22,1716415792929,1716415793655,726,668,58,0,0
21,1716415792929,1716415793655,726,669,57,0,0
24,1716415792929,1716415793702,773,719,54,0,0
29,1716415792929,1716415793708,779,724,55,0,0
25,1716415792929,1716415793709,780,726,54,0,0
27,1716415792929,1716415793709,780,725,55,0,0
26,1716415792929,1716415793709,780,725,55,0,0
28,1716415792929,1716415793709,780,724,56,0,0
30,1716415792929,1716415793758,829,776,53,0,0
35,1716415792930,1716415793763,833,779,54,0,0
34,1716415792930,1716415793763,833,780,53,0,0
33,1716415792929,1716415793763,834,781,53,0,0
32,1716415792929,1716415793766,837,782,55,0,0
31,1716415792929,1716415793766,837,782,55,0,0
36,1716415792930,1716415793814,884,830,53,0,0
37,1716415792930,1716415793818,888,835,53,0,0
39,1716415792930,1716415793818,888,834,53,0,0
38,1716415792930,1716415793819,889,835,54,0,0
40,1716415792930,1716415793822,892,838,54,0,0
41,1716415792930,1716415793822,892,838,54,0,0
42,1716415792930,1716415793875,945,886,59,0,0
43,1716415792930,1716415793876,946,892,54,0,0
44,1716415792931,1716415793876,945,890,55,0,0
45,1716415792931,1716415793876,945,890,55,0,0
47,1716415792931,1716415793878,947,893,54,0,0
46,1716415792931,1716415793878,947,893,53,0,0
48,1716415792932,1716415793932,1000,946,53,0,0
51,1716415792932,1716415793932,1000,945,55,0,0
49,1716415792932,1716415793932,1000,946,54,0,0
50,1716415792932,1716415793932,1000,946,54,0,0
53,1716415792932,1716415793933,1001,948,53,0,0
52,1716415792932,1716415793934,1002,949,53,0,0
54,1716415792932,1716415793988,1056,1003,53,0,0
55,1716415792932,1716415793988,1056,1002,54,0,0
57,1716415792932,1716415793988,1056,1001,55,0,0
56,1716415792932,1716415793988,1056,1002,54,0,0
59,1716415792933,1716415793990,1057,1003,53,0,1
58,1716415792932,1716415793991,1059,1004,55,0,0
60,1716415792933,1716415794043,1110,1057,53,0,0
63,1716415792933,1716415794043,1110,1056,54,0,0
61,1716415792933,1716415794044,1111,1057,54,0,0
64,1716415792933,1716415794046,1113,1060,53,0,0
65,1716415792933,1716415794046,1113,1059,54,0,0
66,1716415792933,1716415794098,1165,1113,52,0,0
68,1716415792934,1716415794099,1165,1111,54,0,0
67,1716415792933,1716415794099,1166,1112,54,0,0
69,1716415792934,1716415794102,1168,1114,54,0,0
70,1716415792934,1716415794103,1169,1115,54,0,0
71,1716415792934,1716415794155,1221,1167,54,0,0
72,1716415792934,1716415794155,1221,1166,54,0,0
73,1716415792934,1716415794156,1222,1168,54,0,0
74,1716415792934,1716415794159,1225,1171,54,0,0
75,1716415792934,1716415794159,1225,1170,55,0,0
76,1716415792934,1716415794210,1276,1224,52,0,0
80,1716415792934,1716415794214,1280,1226,54,0,0
79,1716415792934,1716415794214,1280,1227,53,0,0
78,1716415792934,1716415794215,1281,1223,58,0,0
77,1716415792934,1716415794215,1281,1223,58,0,0
85,1716415792934,1716415794270,1336,1283,53,0,0
82,1716415792934,1716415794271,1337,1284,53,0,0
84,1716415792934,1716415794271,1337,1283,53,0,0
62,1716415792933,1716415794272,1339,1056,283,0,0
83,1716415792934,1716415794275,1341,1284,57,0,0
81,1716415792934,1716415794281,1347,1278,69,0,0
89,1716415792935,1716415794327,1392,1339,53,0,0
88,1716415792935,1716415794327,1392,1338,54,0,0
86,1716415792934,1716415794327,1393,1340,52,0,0
87,1716415792934,1716415794327,1393,1340,53,0,0
90,1716415792936,1716415794329,1393,1342,51,0,0
91,1716415792936,1716415794337,1401,1348,53,0,0
93,1716415792936,1716415794384,1448,1394,54,0,0
94,1716415792936,1716415794384,1448,1394,54,0,0
95,1716415792936,1716415794384,1448,1393,55,0,0
92,1716415792936,1716415794384,1448,1395,53,0,0
96,1716415792936,1716415794386,1450,1396,54,0,0
97,1716415792936,1716415794394,1458,1404,54,0,0
100,1716415792937,1716415794439,1502,1449,53,0,0
98,1716415792936,1716415794439,1503,1450,53,0,0
101,1716415792937,1716415794440,1503,1448,55,0,0
102,1716415792937,1716415794442,1505,1451,54,0,0
99,1716415792936,1716415794442,1506,1451,55,0,0
103,1716415792937,1716415794450,1513,1459,54,0,0
106,1716415792937,1716415794502,1565,1504,61,0,0
105,1716415792937,1716415794503,1566,1505,61,0,0
104,1716415792937,1716415794503,1566,1505,61,0,0
107,1716415792937,1716415794503,1566,1508,58,0,0
108,1716415792937,1716415794504,1567,1507,60,0,0
109,1716415792937,1716415794507,1570,1515,55,0,0
110,1716415792937,1716415794565,1628,1561,67,0,0
111,1716415792938,1716415794565,1627,1560,67,0,0
112,1716415792938,1716415794565,1627,1559,68,0,0
113,1716415792938,1716415794566,1628,1562,65,0,0
114,1716415792938,1716415794566,1628,1562,66,0,0
115,1716415792938,1716415794566,1628,1570,58,0,0
118,1716415792938,1716415794607,1669,1615,54,0,0
117,1716415792938,1716415794608,1670,1615,55,0,0
116,1716415792938,1716415794608,1670,1616,54,0,0
119,1716415792938,1716415794611,1673,1618,55,0,0
120,1716415792938,1716415794611,1673,1618,55,0,0
121,1716415792938,1716415794617,1679,1626,53,0,0
122,1716415792938,1716415794663,1725,1672,53,0,0
123,1716415792938,1716415794664,1726,1671,54,0,0
124,1716415792938,1716415794664,1726,1671,55,0,0
125,1716415792938,1716415794666,1728,1675,53,0,0
126,1716415792938,1716415794666,1728,1674,54,0,0
127,1716415792938,1716415794674,1736,1682,54,0,0
130,1716415792939,1716415794719,1780,1726,54,0,0
129,1716415792938,1716415794719,1781,1728,53,0,0
128,1716415792938,1716415794719,1781,1728,53,0,0
131,1716415792939,1716415794722,1783,1730,53,0,0
132,1716415792939,1716415794723,1784,1729,55,0,0
133,1716415792940,1716415794729,1789,1736,53,0,0
136,1716415792940,1716415794775,1835,1781,53,0,0
134,1716415792940,1716415794775,1835,1782,52,0,0
135,1716415792940,1716415794776,1836,1782,54,0,0
137,1716415792940,1716415794778,1838,1785,53,0,0
138,1716415792940,1716415794778,1838,1784,54,0,0
139,1716415792940,1716415794786,1846,1792,54,0,0
140,1716415792940,1716415794831,1891,1838,53,0,0
141,1716415792940,1716415794831,1891,1837,54,0,0
142,1716415792940,1716415794831,1891,1838,53,0,0
144,1716415792941,1716415794834,1893,1839,54,0,0
143,1716415792940,1716415794834,1894,1841,53,0,0
145,1716415792941,1716415794841,1900,1847,53,0,0
146,1716415792941,1716415794887,1946,1893,53,0,0
147,1716415792941,1716415794887,1946,1893,53,0,0
148,1716415792941,1716415794888,1947,1892,55,0,0
150,1716415792941,1716415794891,1950,1896,54,0,0
149,1716415792941,1716415794891,1950,1896,54,0,0
151,1716415792941,1716415794897,1956,1903,53,0,0
152,1716415792941,1716415794943,2002,1949,53,0,0
154,1716415792942,1716415794943,2001,1947,54,0,0
153,1716415792941,1716415794944,2003,1949,54,0,0
155,1716415792942,1716415794946,2004,1951,53,0,0
156,1716415792942,1716415794947,2005,1950,55,0,0
157,1716415792942,1716415794954,2012,1958,54,0,0
158,1716415792942,1716415795000,2058,2004,54,0,0
160,1716415792942,1716415795001,2059,2003,56,0,0
159,1716415792942,1716415795001,2059,2003,55,0,0
161,1716415792942,1716415795004,2062,2007,55,0,0
162,1716415792942,1716415795004,2062,2006,56,0,0
