CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716415721974,1716415732499,10525,599,9926,0,0
1,1716415721974,1716415732499,10525,597,9928,0,0
2,1716415721974,1716415732499,10525,605,9920,0,0
3,1716415721974,1716415732499,10525,605,9920,0,0
4,1716415721974,1716415732499,10525,605,9919,0,0
5,1716415721974,1716415732499,10525,604,9921,0,0
6,1716415721975,1716415732499,10524,609,9915,0,0
7,1716415721975,1716415732499,10524,612,9912,0,0
8,1716415721975,1716415732499,10524,616,9907,0,0
9,1716415721975,1716415732499,10524,616,9907,0,0
10,1716415721975,1716415732499,10524,618,9906,0,0
11,1716415721975,1716415732499,10524,618,9906,0,0
12,1716415721975,1716415732499,10524,666,9858,0,0
13,1716415721975,1716415732499,10524,666,9858,0,0
14,1716415721975,1716415732499,10524,675,9849,0,0
15,1716415721975,1716415732499,10524,674,9849,0,0
16,1716415721975,1716415732499,10524,674,9850,0,0
17,1716415721976,1716415732499,10523,674,9849,0,0
18,1716415721976,1716415732499,10523,721,9802,0,0
19,1716415721976,1716415732499,10523,721,9802,0,0
20,1716415721977,1716415732499,10522,729,9793,0,0
21,1716415721977,1716415732499,10522,729,9793,0,0
22,1716415721977,1716415732499,10522,728,9794,0,0
23,1716415721977,1716415732499,10522,728,9793,0,0
24,1716415721977,1716415732499,10522,775,9747,0,0
25,1716415721977,1716415732499,10522,779,9743,0,0
26,1716415721977,1716415732499,10522,789,9733,0,0
27,1716415721977,1716415732499,10522,789,9733,0,0
28,1716415721977,1716415732499,10522,788,9734,0,0
29,1716415721977,1716415732499,10522,7383,3139,0,0
30,1716415721978,1716415732499,10521,7382,3139,0,0
31,1716415721978,1716415732499,10521,7402,3119,0,0
32,1716415721978,1716415732499,10521,7411,3110,0,0
33,1716415721978,1716415732499,10521,7434,3086,0,0
34,1716415721978,1716415732499,10521,7434,3087,0,0
35,1716415721978,1716415732499,10521,7438,3083,0,0
