CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
1,1716419183618,1716419183624,6,5,1,0,0
3,1716419183621,1716419183627,6,5,1,0,0
8,1716419183626,1716419183633,7,5,1,0,0
5,1716419183623,1716419183629,6,5,1,0,0
12,1716419183632,1716419183639,7,6,1,0,0
2,1716419183620,1716419183626,6,5,1,0,0
11,1716419183631,1716419183641,10,6,2,0,0
4,1716419183622,1716419183628,6,5,1,0,0
6,1716419183623,1716419183630,7,6,1,0,0
14,1716419183636,1716419183646,10,8,1,0,0
9,1716419183628,1716419183647,19,8,1,0,0
13,1716419183634,1716419183643,9,7,1,0,0
7,1716419183625,1716419183634,9,8,1,0,0
22,1716419183649,1716419183659,10,8,1,0,0
27,1716419183658,1716419183670,12,9,1,0,0
16,1716419183638,1716419183650,12,10,1,0,0
18,1716419183642,1716419183661,19,9,9,0,0
28,1716419183660,1716419183679,19,7,11,0,0
20,1716419183646,1716419183661,15,9,6,0,0
26,1716419183656,1716419183683,27,15,12,0,0
33,1716419183673,1716419183685,12,8,3,0,0
17,1716419183641,1716419183684,43,12,7,0,0
36,1716419183683,1716419183695,12,11,1,0,0
34,1716419183676,1716419183688,12,8,4,0,0
24,1716419183653,1716419183692,39,8,30,0,0
21,1716419183656,1716419183695,39,11,25,0,0
37,1716419183681,1716419183707,26,20,5,0,0
25,1716419183655,1716419183689,34,9,16,0,0
29,1716419183666,1716419183700,34,26,5,0,0
30,1716419183668,1716419183695,27,25,2,0,0
23,1716419183650,1716419183687,37,13,13,0,0
19,1716419183644,1716419183681,37,10,6,0,0
38,1716419183685,1716419183715,30,16,12,0,0
35,1716419183693,1716419183706,13,7,2,0,0
32,1716419183671,1716419183689,18,10,4,0,0
39,1716419183709,1716419183728,19,15,4,0,0
41,1716419183715,1716419183731,16,8,6,0,0
15,1716419183637,1716419183690,53,13,1,0,0
31,1716419183669,1716419183706,37,11,19,0,0
40,1716419183714,1716419183725,11,8,3,0,0
10,1716419183630,1716419183710,80,16,14,0,0
43,1716419183726,1716419183737,11,7,3,0,0
47,1716419183750,1716419183760,10,8,1,0,0
44,1716419183741,1716419183750,9,6,2,0,0
46,1716419183744,1716419183756,12,7,4,0,0
42,1716419183724,1716419183732,8,7,1,0,0
48,1716419183752,1716419183763,11,8,2,0,0
51,1716419183764,1716419183772,8,7,1,0,0
52,1716419183768,1716419183782,14,11,2,0,0
50,1716419183769,1716419183780,11,9,2,0,0
54,1716419183776,1716419183786,10,7,2,0,0
45,1716419183759,1716419183777,18,16,2,0,0
55,1716419183778,1716419183800,22,18,3,0,0
58,1716419183785,1716419183795,10,8,2,0,0
49,1716419183758,1716419183768,10,7,3,0,0
53,1716419183777,1716419183790,13,10,1,0,0
61,1716419183802,1716419183813,11,8,2,0,0
60,1716419183799,1716419183809,10,8,1,0,0
57,1716419183782,1716419183796,14,10,2,0,0
59,1716419183796,1716419183805,9,7,1,0,0
62,1716419183805,1716419183827,22,8,14,0,0
63,1716419183808,1716419183820,12,8,3,0,0
56,1716419183780,1716419183797,17,11,2,0,0
65,1716419183812,1716419183835,23,9,13,0,0
73,1716419183828,1716419183839,11,9,1,0,0
67,1716419183816,1716419183832,16,10,5,0,0
76,1716419183835,1716419183849,14,10,3,0,0
74,1716419183830,1716419183843,13,10,2,0,0
70,1716419183822,1716419183854,32,14,4,0,0
82,1716419183847,1716419183863,16,12,4,0,0
77,1716419183837,1716419183868,31,19,2,0,0
66,1716419183814,1716419183878,64,10,9,0,0
80,1716419183843,1716419183873,30,15,8,0,0
83,1716419183849,1716419183879,30,10,18,0,0
72,1716419183829,1716419183850,21,15,2,0,0
71,1716419183824,1716419183842,18,10,7,0,0
81,1716419183846,1716419183882,36,34,2,0,0
85,1716419183867,1716419183886,19,14,4,0,0
89,1716419183884,1716419183895,11,9,2,0,0
75,1716419183833,1716419183847,14,10,4,0,0
86,1716419183877,1716419183891,14,10,4,0,0
79,1716419183859,1716419183902,43,15,24,0,0
78,1716419183839,1716419183883,44,23,20,0,0
87,1716419183873,1716419183900,27,23,3,0,0
69,1716419183820,1716419183871,51,12,18,0,0
68,1716419183819,1716419183876,57,11,8,0,0
64,1716419183810,1716419183880,70,10,9,0,0
94,1716419183903,1716419183916,13,11,2,0,0
84,1716419183876,1716419183902,26,10,11,0,0
90,1716419183887,1716419183927,40,21,18,0,0
92,1716419183892,1716419183904,12,7,4,0,0
88,1716419183877,1716419183890,13,11,1,0,0
96,1716419183922,1716419183934,12,7,4,0,0
95,1716419183901,1716419183927,26,9,16,0,0
103,1716419183948,1716419183959,11,8,2,0,0
100,1716419183941,1716419183960,19,7,11,0,0
104,1716419183951,1716419183965,14,10,2,0,0
91,1716419183903,1716419183946,43,12,30,0,0
97,1716419183932,1716419183959,27,7,20,0,0
93,1716419183923,1716419183935,12,9,3,0,0
99,1716419183941,1716419183971,30,7,21,0,0
101,1716419183944,1716419183968,24,9,15,0,0
106,1716419183957,1716419183980,23,12,6,0,0
98,1716419183932,1716419183944,12,10,2,0,0
107,1716419183959,1716419183984,25,13,12,0,0
105,1716419183953,1716419183966,13,8,5,0,0
102,1716419183948,1716419183968,20,16,3,0,0
