CNT,TS_BEGIN,TS_END,DIFF,DELAY_CLI,DELAY_BCK,PROCTIME,AUTHTIME
0,1716418994582,1716418994587,5,4,1,0,0
1,1716418994616,1716418994621,5,4,1,0,0
2,1716418994649,1716418994654,5,4,1,0,0
3,1716418994684,1716418994688,4,3,0,0,0
4,1716418994717,1716418994722,5,4,1,0,0
5,1716418994751,1716418994756,5,5,0,0,0
6,1716418994785,1716418994789,4,3,1,0,0
7,1716418994818,1716418994822,4,3,1,0,0
8,1716418994852,1716418994856,4,3,0,0,0
9,1716418994885,1716418994889,4,4,0,0,0
10,1716418994918,1716418994923,5,4,1,0,0
11,1716418994951,1716418994956,5,4,1,0,0
12,1716418994984,1716418994989,5,4,1,0,0
13,1716418995017,1716418995022,5,4,1,0,0
14,1716418995050,1716418995055,5,4,1,0,0
15,1716418995083,1716418995088,5,4,1,0,0
16,1716418995116,1716418995121,5,4,0,0,0
17,1716418995150,1716418995155,5,4,1,0,0
18,1716418995183,1716418995188,5,4,1,0,0
19,1716418995216,1716418995221,5,4,0,1,0
20,1716418995249,1716418995254,5,4,1,0,0
21,1716418995282,1716418995287,5,4,1,0,0
22,1716418995316,1716418995320,4,4,0,0,0
23,1716418995349,1716418995353,4,4,0,0,0
24,1716418995382,1716418995386,4,4,0,0,0
25,1716418995414,1716418995419,5,4,1,0,0
26,1716418995447,1716418995452,5,4,1,0,0
27,1716418995480,1716418995485,5,4,1,0,0
28,1716418995514,1716418995518,4,4,0,0,0
29,1716418995548,1716418995552,4,3,1,0,0
30,1716418995580,1716418995585,5,4,1,0,0
31,1716418995614,1716418995618,4,4,0,0,0
32,1716418995647,1716418995652,5,4,1,0,0
33,1716418995681,1716418995685,4,4,0,0,0
34,1716418995714,1716418995718,4,4,0,0,0
35,1716418995747,1716418995752,5,4,1,0,0
36,1716418995780,1716418995785,5,4,1,0,0
37,1716418995814,1716418995819,5,4,1,0,0
38,1716418995848,1716418995853,5,4,1,0,0
39,1716418995881,1716418995886,5,4,1,0,0
40,1716418995915,1716418995919,4,4,0,0,0
41,1716418995948,1716418995952,4,4,0,0,0
42,1716418995981,1716418995985,4,4,0,0,0
43,1716418996014,1716418996020,6,4,2,0,0
44,1716418996048,1716418996052,4,4,0,0,0
45,1716418996083,1716418996088,5,4,1,0,0
46,1716418996116,1716418996120,4,4,0,0,0
47,1716418996148,1716418996153,5,4,1,0,0
48,1716418996181,1716418996185,4,4,0,0,0
49,1716418996214,1716418996219,5,4,1,0,0
50,1716418996248,1716418996253,5,4,1,0,0
51,1716418996281,1716418996286,5,4,1,0,0
52,1716418996314,1716418996319,5,4,1,0,0
53,1716418996348,1716418996352,4,4,0,0,0
54,1716418996380,1716418996385,5,4,1,0,0
55,1716418996413,1716418996417,4,4,0,0,0
56,1716418996445,1716418996449,4,4,0,0,0
57,1716418996478,1716418996482,4,3,0,0,0
58,1716418996511,1716418996515,4,3,1,0,0
59,1716418996543,1716418996548,5,4,1,0,0
60,1716418996576,1716418996580,4,4,0,0,0
61,1716418996609,1716418996613,4,4,0,0,0
62,1716418996643,1716418996660,17,17,0,0,0
63,1716418996688,1716418996693,5,4,1,0,0
64,1716418996721,1716418996726,5,4,1,0,0
65,1716418996755,1716418996759,4,3,1,0,0
66,1716418996787,1716418996791,4,4,0,0,0
67,1716418996821,1716418996826,5,5,0,0,0
68,1716418996855,1716418996861,6,5,1,0,0
69,1716418996889,1716418996904,15,15,0,0,0
70,1716418996933,1716418996938,5,4,1,0,0
71,1716418996967,1716418996972,5,4,1,0,0
72,1716418997000,1716418997004,4,4,0,0,0
73,1716418997033,1716418997038,5,4,1,0,0
74,1716418997066,1716418997070,4,3,0,0,0
75,1716418997098,1716418997103,5,4,1,0,0
76,1716418997131,1716418997135,4,4,0,0,0
77,1716418997163,1716418997168,5,5,0,0,0
78,1716418997196,1716418997201,5,4,1,0,0
79,1716418997230,1716418997234,4,4,0,0,0
80,1716418997263,1716418997268,5,4,1,0,0
81,1716418997296,1716418997300,4,4,0,0,0
82,1716418997329,1716418997333,4,4,0,0,0
83,1716418997364,1716418997368,4,4,0,0,0
84,1716418997397,1716418997402,5,4,1,0,0
85,1716418997430,1716418997435,5,4,1,0,0
86,1716418997463,1716418997468,5,4,1,0,0
87,1716418997496,1716418997500,4,4,0,0,0
88,1716418997529,1716418997534,5,4,1,0,0
89,1716418997563,1716418997567,4,4,0,0,0
90,1716418997596,1716418997601,5,4,1,0,0
91,1716418997630,1716418997634,4,4,0,0,0
92,1716418997663,1716418997667,4,4,0,0,0
93,1716418997701,1716418997705,4,4,0,0,0
94,1716418997735,1716418997739,4,4,0,0,0
95,1716418997768,1716418997773,5,4,1,0,0
96,1716418997801,1716418997806,5,4,1,0,0
97,1716418997836,1716418997840,4,4,0,0,0
98,1716418997869,1716418997873,4,3,1,0,0
99,1716418997901,1716418997906,5,4,1,0,0
100,1716418997934,1716418997938,4,3,0,0,0
101,1716418997967,1716418997972,5,4,1,0,0
102,1716418998000,1716418998005,5,4,1,0,0
103,1716418998034,1716418998039,5,4,1,0,0
104,1716418998067,1716418998072,5,4,1,0,0
105,1716418998101,1716418998105,4,3,0,0,0
106,1716418998133,1716418998138,5,4,1,0,0
107,1716418998166,1716418998171,5,4,1,0,0
108,1716418998200,1716418998204,4,4,0,0,0
109,1716418998233,1716418998238,5,4,1,0,0
110,1716418998268,1716418998272,4,4,0,0,0
111,1716418998302,1716418998306,4,3,0,1,0
112,1716418998335,1716418998339,4,4,0,0,0
113,1716418998368,1716418998373,5,4,1,0,0
114,1716418998401,1716418998406,5,4,1,0,0
115,1716418998434,1716418998438,4,4,0,0,0
116,1716418998467,1716418998471,4,4,0,0,0
117,1716418998500,1716418998505,5,4,1,0,0
118,1716418998534,1716418998539,5,4,1,0,0
119,1716418998567,1716418998571,4,4,0,0,0
120,1716418998600,1716418998605,5,4,1,0,0
121,1716418998634,1716418998639,5,4,1,0,0
122,1716418998668,1716418998672,4,3,1,0,0
123,1716418998700,1716418998705,5,4,1,0,0
124,1716418998734,1716418998738,4,4,0,0,0
125,1716418998767,1716418998771,4,4,0,0,0
126,1716418998799,1716418998804,5,4,1,0,0
127,1716418998832,1716418998837,5,4,1,0,0
128,1716418998865,1716418998870,5,4,1,0,0
129,1716418998899,1716418998903,4,4,0,0,0
130,1716418998934,1716418998939,5,5,0,0,0
131,1716418998968,1716418998973,5,4,1,0,0
132,1716418999001,1716418999006,5,4,1,0,0
133,1716418999034,1716418999038,4,4,0,0,0
134,1716418999066,1716418999071,5,4,1,0,0
135,1716418999099,1716418999104,5,4,1,0,0
136,1716418999133,1716418999137,4,3,0,0,0
137,1716418999166,1716418999170,4,3,0,0,0
138,1716418999199,1716418999203,4,4,0,0,0
139,1716418999232,1716418999237,5,4,1,0,0
140,1716418999266,1716418999270,4,4,0,0,0
141,1716418999299,1716418999304,5,4,1,0,0
142,1716418999332,1716418999337,5,4,1,0,0
143,1716418999365,1716418999370,5,4,1,0,0
144,1716418999398,1716418999403,5,4,1,0,0
145,1716418999432,1716418999436,4,4,0,0,0
146,1716418999465,1716418999469,4,3,0,0,0
147,1716418999497,1716418999502,5,4,1,0,0
